Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,620,204,327,84,4,0,0.02,9
ALBANIA,1071,20,922,9,121,0,0.34,17
ALGERIA,29835,822,10459,13940,2160,2454,0.85,603
ANDORRA,147,0,147,0,0,0,1.8,0
ANGOLA,6859,0,2402,435,190,3832,0.39,107
ANGUILLA,41,0,41,0,0,0,3.12,0
ANTARCTIC FISHERIES,3,0,3,0,0,0,2.51,63
ANTIGUA & BARBUDA,128,0,128,0,0,0,1.52,45
ARGENTINA,47771,999,21275,23793,1306,398,1.21,1245
ARMENIA,1381,4,252,1026,98,0,0.46,50
ARUBA,770,0,770,0,0,0,7.61,74
AUSTRALIA,101470,56556,27008,16552,1251,103,4.78,3174
AUSTRIA,19017,4032,9765,4512,708,0,2.29,606
AZERBAIJAN,8320,6,3127,4798,230,160,0.95,373
BAHAMAS,461,1,460,0,0,0,1.35,199
BAHRAIN,7321,0,1572,5695,54,0,7.09,569
BANGLADESH,12103,603,2734,8073,694,0,0.08,251
BARBADOS,372,0,322,10,40,1,1.35,125
BELARUS,16505,602,4545,10838,520,0,1.72,0
BELGIUM,28237,4376,13234,9324,1302,0,2.64,9332
BELIZE,130,0,130,0,0,0,0.45,14
BENIN,1226,0,1015,0,211,0,0.14,21
BERMUDA,199,0,199,0,0,0,3.09,46
BHUTAN,107,22,61,0,24,0,0.16,1
BOSNIA & HERZEGOVINA,4814,3463,967,210,174,0,1.24,4
BOTSWANA,1154,528,626,0,0,0,0.6,7
BRAZIL,99049,15093,65508,11066,6331,1051,0.52,4284
BRITISH VIRGIN ISLANDS,41,0,41,0,0,0,1.65,0
BRUNEI (DARUSSALAM),2295,0,504,1621,27,143,6.02,149
BULGARIA,14250,8292,3477,1880,600,0,1.88,196
BURKINA FASO,449,0,445,0,4,0,0.03,12
BURUNDI,51,3,49,0,0,0,0.01,5
CAMBODIA,945,0,933,0,12,0,0.07,33
CANADA,151174,33279,65748,49113,2051,983,4.58,1173
CAPE VERDE,138,0,138,0,0,0,0.29,78
CAYMAN ISLANDS,156,0,156,0,0,0,3.03,11
CENTRAL AFRICAN REPUBLIC,69,0,69,0,0,0,0.02,25
CHAD,126,0,126,0,0,0,0.01,16
CHILE,19536,3550,12889,2392,604,101,1.17,1415
CHINA (MAINLAND),1917316,1443751,253098,35348,185119,0,1.44,9154
COLOMBIA,17025,2198,9347,3830,1505,145,0.38,750
COMOROS,28,0,28,0,0,0,0.04,2
CONGO,331,0,306,11,14,0,0.09,65
COOK ISLANDS,18,0,18,0,0,0,0.93,2
COSTA RICA,2215,81,1821,0,313,0,0.5,0
COTE D IVOIRE,1848,0,996,788,64,0,0.1,133
CROATIA,6498,714,3609,1687,488,0,1.49,96
CUBA,7307,20,6404,638,245,0,0.65,168
CYPRUS,2235,36,1944,0,255,0,2.1,481
CZECH REPUBLIC,33625,22544,5893,4521,666,0,3.25,286
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,17515,15965,716,0,834,0,0.73,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),479,0,395,12,72,0,0.01,144
DENMARK,13705,4786,5901,2537,390,91,2.51,1664
DJIBOUTI,126,0,126,0,0,0,0.16,86
DOMINICA,42,0,42,0,0,0,0.59,2
DOMINICAN REPUBLIC,5774,527,4415,274,558,0,0.6,364
ECUADOR,8696,0,7448,243,601,404,0.61,518
EGYPT,51566,796,23134,22142,5494,0,0.69,2865
EL SALVADOR,1903,0,1726,0,177,0,0.31,97
EQUATORIAL GUINEA,1308,0,163,876,0,269,2.05,29
ERITREA,158,0,152,0,6,0,0.03,4
ESTONIA,5102,3958,515,502,127,0,3.89,258
ETHIOPIA,1640,0,1419,0,221,0,0.02,159
FAEROE ISLANDS,188,0,188,0,0,0,3.8,26
FALKLAND ISLANDS (MALVINAS),16,3,13,0,0,0,5.29,0
FEDERATED STATES OF MICRONESIA,38,0,38,0,0,0,0.36,1
FIJI,316,0,296,0,20,0,0.38,169
FINLAND,17449,7651,7236,2325,237,0,3.3,846
FRANCE (INCLUDING MONACO),100666,13847,59748,24038,3033,0,1.62,7334
FRENCH GUIANA,154,0,146,0,8,0,0.72,24
FRENCH POLYNESIA,223,0,223,0,0,0,0.86,54
GABON,1123,0,430,85,31,577,0.78,214
GAMBIA,96,0,95,1,0,0,0.06,12
GEORGIA,1751,104,688,897,61,1,0.4,38
GERMANY,212857,91205,69328,47777,4540,6,2.55,9589
GHANA,2680,0,2435,0,245,0,0.12,138
GIBRALTAR,113,0,113,0,0,0,3.86,3697
GREECE,26792,9514,12910,2101,2267,0,2.42,3634
GREENLAND,174,0,174,0,0,0,3.07,44
GRENADA,65,0,65,0,0,0,0.63,5
GUADELOUPE,636,125,480,0,31,0,1.41,88
GUATEMALA,3443,324,2779,0,340,0,0.26,248
GUINEA,537,0,537,0,0,0,0.05,21
GUINEA BISSAU,63,0,63,0,0,0,0.04,9
GUYANA,426,0,426,0,0,0,0.55,8
HAITI,652,0,613,0,39,0,0.07,17
HONDURAS,2394,89,2063,0,242,0,0.33,21
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,11923,7534,3202,1051,136,0,1.72,10399
HUNGARY,15281,3398,4710,6686,483,4,1.52,207
ICELAND,630,110,502,0,19,0,2.07,195
INDIA,383858,254139,91557,14382,23120,660,0.33,3954
INDONESIA,102412,35119,45367,15578,4896,1452,0.44,1300
IRAQ,16950,0,9549,3283,612,3507,0.59,0
IRELAND,12173,2547,6315,2673,639,0,2.84,901
ISLAMIC REPUBLIC OF IRAN,141621,1795,61457,64552,5576,8240,1.97,1818
ISRAEL,17200,8272,6859,1389,680,0,2.48,1239
ITALY (INCLUDING SAN MARINO),126173,17368,58912,43427,6466,0,2.12,4984
JAMAICA,2632,26,2525,0,81,0,0.97,225
JAPAN,341486,120503,159895,51883,9205,0,2.68,9890
JORDAN,6009,0,3928,1503,579,0,1.06,110
KAZAKHSTAN,60635,33477,11626,14758,775,0,3.94,197
KENYA,2681,109,2225,0,346,0,0.07,551
KIRIBATI,14,0,14,0,0,0,0.15,3
KUWAIT,20517,0,13116,6970,299,131,8.03,1349
KYRGYZSTAN,1808,629,610,402,167,0,0.35,204
LAO PEOPLE S DEMOCRATIC REPUBLIC,248,88,106,0,54,0,0.04,9
LATVIA,2268,111,1267,849,41,0,1.05,221
LEBANON,3671,137,2997,0,537,0,0.89,128
LESOTHO,566,451,115,0,0,0,0.29,0
LIBERIA,182,0,161,0,21,0,0.05,14
LIBYAN ARAB JAMAHIRIYAH,13624,0,8084,3304,708,1527,2.36,599
LIECHTENSTEIN,17,0,0,17,0,0,0.48,0
LITHUANIA,4136,268,1912,1806,150,0,1.3,159
LUXEMBOURG,3005,89,2052,717,147,0,6.31,362
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,419,0,419,0,0,0,0.85,0
MACEDONIA,2589,1562,845,53,129,0,1.23,6
MADAGASCAR,495,7,450,0,37,0,0.03,56
MALAWI,242,43,173,0,25,0,0.02,9
MALAYSIA,50400,8170,19016,17860,2649,2705,1.88,1312
MALDIVES,213,0,213,0,0,0,0.69,38
MALI,275,0,275,0,0,0,0.02,16
MALTA,743,0,743,0,0,0,1.77,817
MARSHALL ISLANDS,27,0,27,0,0,0,0.51,0
MARTINIQUE,527,0,497,0,30,0,1.32,119
MAURITANIA,503,0,447,0,56,0,0.15,15
MAURITIUS,1006,361,645,0,0,0,0.82,266
MEXICO,131039,12511,78234,32007,5271,3016,1.15,3403
MONGOLIA,3290,2612,654,0,24,0,1.27,0
MONTENEGRO,614,279,335,0,0,0,0.99,9
MONTSERRAT,11,0,11,0,0,0,2.23,1
MOROCCO,13708,4115,7513,339,1740,0,0.45,425
MOZAMBIQUE,617,7,502,19,90,0,0.03,54
MYANMAR (FORMERLY BURMA),3511,224,1517,1683,83,4,0.07,14
NAMIBIA,644,43,601,0,0,0,0.31,29
NAURU,12,0,12,0,0,0,1.16,4
NEPAL,713,204,469,0,41,0,0.03,46
NETHERLAND ANTILLES,1835,0,1835,0,0,0,9.65,2069
NETHERLANDS,48184,7252,19754,20778,367,34,2.93,17897
NEW CALEDONIA,803,171,615,0,17,0,3.4,22
NEW ZEALAND,9173,1788,4906,2276,150,53,2.17,880
NICARAGUA,1256,0,1184,0,72,0,0.22,22
NIGER,197,63,127,0,6,0,0.01,10
NIGERIA,25922,17,7491,6068,639,11707,0.18,527
NIUE,1,0,1,0,0,0,0.52,0
NORWAY,12296,833,7619,3040,231,573,2.6,882
OCCUPIED PALESTINIAN TERRITORY,634,0,634,0,0,0,0.17,0
OMAN,11916,0,4724,5927,528,737,4.64,266
PAKISTAN,43331,6307,15796,17727,3501,0,0.26,253
PALAU,71,0,71,0,0,0,3.54,14
PANAMA,1963,146,1674,0,143,0,0.56,2171
PAPUA NEW GUINEA,1669,0,1598,71,0,0,0.26,61
PARAGUAY,1128,0,1046,0,82,0,0.18,21
PERU,11714,900,6141,1459,847,2366,0.41,353
PHILIPPINES,19681,5974,10000,1932,1775,0,0.22,1147
PLURINATIONAL STATE OF BOLIVIA,3363,0,1957,1129,237,40,0.35,34
POLAND,85703,58864,16701,7804,2328,6,2.24,587
PORTUGAL,16403,2984,9322,2379,1718,0,1.55,1141
QATAR,17256,0,3408,11318,326,2205,14.97,634
REPUBLIC OF CAMEROON,1591,0,1248,187,156,0,0.08,97
REPUBLIC OF KOREA,135172,58242,50371,19463,7097,0,2.84,10683
REPUBLIC OF MOLDOVA,1276,46,527,594,109,0,0.35,12
REUNION,1053,478,521,0,54,0,1.3,50
ROMANIA,27877,10826,7712,7971,1368,0,1.27,121
RUSSIAN FEDERATION,454564,116913,92560,228636,8152,8304,3.16,4573
RWANDA,152,0,137,0,14,0,0.02,10
SAINT HELENA,3,0,3,0,0,0,0.75,0
SAINT LUCIA,105,0,105,0,0,0,0.62,5
SAMOA,47,0,47,0,0,0,0.26,9
SAO TOME & PRINCIPE,23,0,23,0,0,0,0.14,6
SAUDI ARABIA,105748,0,70542,30971,4130,105,4.08,3956
SENEGAL,1413,193,785,6,429,0,0.12,268
SERBIA,14305,9329,3292,1256,428,0,1.46,40
SEYCHELLES,175,0,175,0,0,0,1.96,82
SIERRA LEONE,175,0,141,0,34,0,0.03,5
SINGAPORE,5434,7,1408,4018,0,0,1.15,30929
SLOVAKIA,10030,4206,2131,3179,506,8,1.86,41
SLOVENIA,4430,1714,1968,571,177,0,2.19,68
SOLOMON ISLANDS,49,0,49,0,0,0,0.1,8
SOMALIA,166,0,166,0,0,0,0.02,55
SOUTH AFRICA,127237,107033,16192,2154,1857,0,2.57,2963
SPAIN,97692,20599,49800,19851,7442,0,2.19,10265
SRI LANKA,3369,44,3094,0,231,0,0.17,87
ST. KITTS-NEVIS,59,0,59,0,0,0,1.16,3
ST. PIERRE & MIQUELON,18,0,18,0,0,0,3.02,5
ST. VINCENT & THE GRENADINES,62,0,62,0,0,0,0.57,0
