Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,292,15,120,149,8,0,0.01,4
ALBANIA,1023,23,993,7,0,0,0.33,37
ALGERIA,24518,712,8050,12187,1224,2345,0.78,586
ANDORRA,145,0,145,0,0,0,2.1,0
ANGOLA,3454,0,1370,316,81,1687,0.23,357
ANGUILLA,26,0,26,0,0,0,2.16,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,63
ANTIGUA & BARBUDA,101,0,101,0,0,0,1.26,44
ARGENTINA,34010,300,15692,17090,532,395,0.9,1019
ARMENIA,830,13,223,547,48,0,0.27,44
ARUBA,665,0,665,0,0,0,7.03,68
AUSTRALIA,93088,54011,24528,13399,1027,123,4.75,2338
AUSTRIA,18291,3971,9436,4351,533,0,2.26,436
AZERBAIJAN,8076,0,3080,4536,115,344,0.98,225
BAHAMAS,430,1,429,0,0,0,1.41,215
BAHRAIN,4281,0,838,3434,9,0,6.67,353
BANGLADESH,9192,363,2722,5428,680,0,0.07,204
BARBADOS,335,0,279,15,41,0,1.25,162
BELARUS,14291,720,4086,9191,295,0,1.43,0
BELGIUM,29264,6347,13613,8356,949,0,2.85,7081
BELIZE,118,0,118,0,0,0,0.45,15
BENIN,567,0,533,0,34,0,0.08,20
BERMUDA,152,0,152,0,0,0,2.39,18
BHUTAN,114,46,46,0,22,0,0.19,1
BOSNIA & HERZEGOVINA,3900,2853,846,77,124,0,1.03,7
BOTSWANA,1085,570,515,0,0,0,0.6,6
BRAZIL,90610,13315,63135,7731,5172,1257,0.51,3742
BRITISH VIRGIN ISLANDS,31,0,31,0,0,0,1.46,0
BRUNEI (DARUSSALAM),1194,0,196,778,33,187,3.49,129
BULGARIA,12172,7123,3257,1502,291,0,1.54,193
BURKINA FASO,274,0,270,0,4,0,0.02,12
BURUNDI,58,3,55,0,0,0,0.01,3
CAMBODIA,602,0,602,0,0,0,0.05,9
CANADA,141624,31757,61103,45812,1779,1174,4.53,1507
CAPE VERDE,75,0,75,0,0,0,0.16,31
CAYMAN ISLANDS,133,0,133,0,0,0,2.95,8
CENTRAL AFRICAN REPUBLIC,67,0,67,0,0,0,0.02,24
CHAD,46,0,46,0,0,0,0.01,15
CHILE,15043,2560,8276,3686,471,50,0.95,871
CHINA (MAINLAND),1049978,758398,178244,14736,98600,0,0.82,4528
COLOMBIA,15179,2529,7839,3615,898,297,0.37,717
COMOROS,28,0,28,0,0,0,0.05,1
CONGO,157,0,157,0,0,0,0.05,0
COOK ISLANDS,8,0,8,0,0,0,0.46,2
COSTA RICA,1725,55,1507,0,163,0,0.42,0
COTE D IVOIRE,1987,0,1169,730,88,0,0.12,157
CROATIA,5856,604,3312,1480,459,0,1.31,72
CUBA,7115,19,6610,306,180,0,0.64,221
CYPRUS,1915,38,1680,0,196,0,1.95,377
CZECH REPUBLIC,32656,21946,5425,4848,438,0,3.2,139
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,18878,17200,954,0,724,0,0.81,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),253,0,217,0,36,0,0,103
DENMARK,14194,4396,6499,2890,276,133,2.64,1336
DJIBOUTI,109,0,109,0,0,0,0.14,118
DOMINICA,28,0,28,0,0,0,0.4,1
DOMINICAN REPUBLIC,5817,169,5234,0,415,0,0.66,67
ECUADOR,6804,0,5795,130,408,471,0.53,355
EGYPT,34686,807,15593,14457,3829,0,0.49,2087
EL SALVADOR,1647,1,1466,0,180,0,0.27,55
EQUATORIAL GUINEA,1358,0,214,249,0,895,2.45,12
ERITREA,165,0,159,0,6,0,0.04,7
ESTONIA,4060,3054,571,372,63,0,2.99,118
ETHIOPIA,1233,0,1111,0,122,0,0.02,64
FAEROE ISLANDS,198,0,198,0,0,0,4.23,10
FALKLAND ISLANDS (MALVINAS),12,3,9,0,0,0,4.13,0
FEDERATED STATES OF MICRONESIA,39,0,39,0,0,0,0.36,1
FIJI,243,12,216,0,15,0,0.3,110
FINLAND,16821,7138,7219,2301,163,0,3.24,853
FRANCE (INCLUDING MONACO),102284,13757,62471,23412,2643,0,1.71,6242
FRENCH GUIANA,125,0,117,0,8,0,0.7,24
FRENCH POLYNESIA,193,0,193,0,0,0,0.79,46
GABON,1247,0,323,70,35,819,0.97,240
GAMBIA,79,0,78,1,0,0,0.06,8
GEORGIA,924,15,437,424,47,1,0.2,20
GERMANY,226268,88933,85171,47200,4217,748,2.74,7328
GHANA,2024,0,1766,0,258,0,0.1,80
GIBRALTAR,95,0,95,0,0,0,3.41,2839
GREECE,25544,9654,12823,1125,1942,0,2.31,3385
GREENLAND,147,0,147,0,0,0,2.6,7
GRENADA,56,0,56,0,0,0,0.55,5
GUADELOUPE,576,98,447,0,31,0,1.32,125
GUATEMALA,3026,282,2472,0,272,0,0.26,135
GUINEA,492,0,443,0,49,0,0.06,18
GUINEA BISSAU,42,0,42,0,0,0,0.03,9
GUYANA,431,0,431,0,0,0,0.58,9
HAITI,498,0,459,0,39,0,0.06,29
HONDURAS,1661,102,1393,0,166,0,0.26,20
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,10809,5366,4031,1248,164,0,1.58,6902
HUNGARY,15289,3865,4187,6752,477,8,1.5,173
ICELAND,592,100,481,0,11,0,2.06,140
INDIA,287499,180571,77675,12864,15640,749,0.26,1962
INDONESIA,83648,17251,42806,16311,4711,2568,0.38,607
IRAQ,23796,0,21195,1173,929,499,0.94,428
IRELAND,11839,2818,6272,2298,452,0,3.01,746
ISLAMIC REPUBLIC OF IRAN,109561,1273,59477,39251,3890,5670,1.63,1205
ISRAEL,16311,7985,7699,4,623,0,2.61,1123
ITALY (INCLUDING SAN MARINO),123428,14147,67565,36042,5674,0,2.15,3848
JAMAICA,2793,64,2646,0,84,0,1.06,203
JAPAN,332710,106656,174724,41560,9769,0,2.64,9776
JORDAN,4605,0,4004,117,484,0,0.92,38
KAZAKHSTAN,36470,22570,7402,6209,290,0,2.45,156
KENYA,2173,72,1901,0,199,0,0.07,73
KIRIBATI,11,0,11,0,0,0,0.12,2
KUWAIT,15879,0,10589,4954,215,121,7.67,834
KYRGYZSTAN,1352,542,274,464,72,0,0.27,29
LAO PEOPLE S DEMOCRATIC REPUBLIC,314,178,102,0,33,0,0.06,8
LATVIA,1885,103,940,807,35,0,0.8,201
LEBANON,4364,137,3839,0,388,0,1.13,121
LESOTHO,520,413,106,0,0,0,0.26,0
LIBERIA,133,0,126,0,7,0,0.04,14
LIBYAN ARAB JAMAHIRIYAH,13044,0,9039,2847,449,709,2.4,257
LITHUANIA,3584,152,1994,1355,82,0,1.04,119
LUXEMBOURG,2568,85,1717,666,99,0,5.8,312
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,414,0,414,0,0,0,0.92,0
MACEDONIA,2982,2154,699,47,82,0,1.47,18
MADAGASCAR,337,7,326,0,4,0,0.02,22
MALAWI,232,49,167,0,15,0,0.02,3
MALAYSIA,36472,3424,16162,13380,1950,1555,1.49,1560
MALDIVES,162,0,162,0,0,0,0.57,27
MALI,231,0,231,0,0,0,0.02,15
MALTA,627,0,627,0,0,0,1.56,725
MARSHALL ISLANDS,23,0,23,0,0,0,0.45,0
MARTINIQUE,487,0,457,0,30,0,1.25,148
MAURITANIA,368,0,341,0,27,0,0.13,17
MAURITIUS,787,201,586,0,0,0,0.64,222
MEXICO,113005,9471,72424,25156,4539,1416,1.1,2845
MONGOLIA,2260,1849,390,0,20,0,0.92,0
MONTSERRAT,10,0,10,0,0,0,2.16,1
MOROCCO,10432,3577,5445,23,1387,0,0.35,252
MOZAMBIQUE,433,0,364,1,67,0,0.02,38
MYANMAR (FORMERLY BURMA),2511,337,1477,628,64,5,0.06,51
NAMIBIA,480,1,479,0,0,0,0.24,14
NAURU,21,0,21,0,0,0,2.08,5
NEPAL,716,142,535,0,39,0,0.03,36
NETHERLAND ANTILLES,1503,0,1503,0,0,0,8.34,1537
NETHERLANDS,49540,7768,18967,22356,420,28,3.09,15144
NEW CALEDONIA,656,193,449,0,14,0,2.98,22
NEW ZEALAND,9054,1219,4519,3159,136,22,2.29,762
NICARAGUA,1101,0,1026,0,75,0,0.21,20
NIGER,191,72,111,0,7,0,0.02,9
NIGERIA,25546,31,10007,3245,286,11978,0.2,435
NIUE,2,0,2,0,0,0,0.93,0
NORWAY,10369,840,6376,2680,222,251,2.29,900
OCCUPIED PALESTINIAN TERRITORY,315,0,315,0,0,0,0.09,0
OMAN,6946,0,1699,4179,231,836,3.02,354
PAKISTAN,31111,2751,14645,12219,1496,0,0.21,273
PALAU,68,0,68,0,0,0,3.46,12
PANAMA,1601,42,1457,0,102,0,0.52,2315
PAPUA NEW GUINEA,951,0,870,81,0,0,0.17,50
PARAGUAY,1063,0,1002,0,61,0,0.19,17
PERU,7414,763,5285,313,541,512,0.28,208
PHILIPPINES,19454,3902,12838,891,1822,0,0.24,699
PLURINATIONAL STATE OF BOLIVIA,2835,0,1345,1229,137,123,0.33,33
POLAND,80402,58372,14215,6316,1489,10,2.1,457
PORTUGAL,18214,3595,11588,1705,1327,0,1.75,924
QATAR,11155,0,3995,6821,182,157,17.87,600
REPUBLIC OF CAMEROON,932,0,805,0,127,0,0.06,74
REPUBLIC OF KOREA,126979,48553,57629,13247,7550,0,2.74,8269
REPUBLIC OF MOLDOVA,1087,76,445,525,41,0,0.27,15
REUNION,823,251,521,0,52,0,1.08,49
ROMANIA,26517,8939,8294,8512,772,0,1.2,80
RUSSIAN FEDERATION,424621,122214,88301,203398,5127,5581,2.92,3977
RWANDA,145,0,131,0,14,0,0.02,10
SAINT HELENA,3,0,3,0,0,0,0.68,0
SAINT LUCIA,89,0,89,0,0,0,0.55,3
SAMOA,40,0,40,0,0,0,0.23,7
SAO TOME & PRINCIPE,16,0,16,0,0,0,0.11,3
SAUDI ARABIA,89012,0,59897,25911,3167,37,4.15,3421
SENEGAL,1230,74,930,2,225,0,0.12,199
SEYCHELLES,147,0,147,0,0,0,1.82,86
SIERRA LEONE,166,4,141,0,20,0,0.04,0
SINGAPORE,12880,0,11042,1811,27,0,3.19,20432
SLOVAKIA,10704,4475,2133,3665,427,4,1.98,38
SLOVENIA,4205,1687,1845,512,160,0,2.11,24
SOLOMON ISLANDS,43,0,43,0,0,0,0.1,7
SOMALIA,160,0,160,0,0,0,0.02,57
SOUTH AFRICA,97256,88845,6127,1125,1159,0,2.11,2867
SPAIN,85770,22469,45821,11712,5769,0,2.07,8246
SRI LANKA,3015,1,2876,0,138,0,0.16,207
ST. KITTS-NEVIS,54,0,54,0,0,0,1.13,3
ST. PIERRE & MIQUELON,16,0,16,0,0,0,2.56,4
