Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,299,1,198,77,16,6,0.01,4
ALBANIA,421,12,385,10,14,0,0.14,0
ALGERIA,23818,377,8193,10646,965,3637,0.81,450
ANDORRA,127,0,127,0,0,0,1.96,0
ANGOLA,2013,0,909,291,41,772,0.16,285
ANGUILLA,19,0,19,0,0,0,1.88,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,61
ANTIGUA & BARBUDA,84,0,84,0,0,0,1.16,39
ARGENTINA,37634,758,18250,16786,933,907,1.05,548
ARMENIA,882,4,107,731,40,0,0.28,17
ARUBA,476,0,476,0,0,0,5.58,57
AUSTRALIA,83391,47414,24389,10572,877,139,4.5,2433
AUSTRIA,17087,3847,8632,4084,524,0,2.14,427
AZERBAIJAN,8129,4,5063,3019,43,0,1.03,154
BAHAMAS,372,1,371,0,0,0,1.3,193
BAHRAIN,4723,0,744,3955,23,0,7.96,205
BANGLADESH,6835,335,2743,3620,138,0,0.06,38
BARBADOS,246,0,209,12,24,0,0.93,148
BELARUS,16241,1139,6242,8606,255,0,1.59,0
BELGIUM,31454,7960,15363,7036,1095,0,3.11,5531
BELIZE,106,0,106,0,0,0,0.46,12
BENIN,332,0,305,0,27,0,0.06,15
BERMUDA,143,0,143,0,0,0,2.31,14
BHUTAN,107,51,33,0,22,0,0.2,1
BOSNIA & HERZEGOVINA,2289,1704,481,77,27,0,0.68,33
BOTSWANA,764,464,300,0,0,0,0.46,4
BRAZIL,81960,13002,59631,3218,5181,929,0.49,2181
BRITISH VIRGIN ISLANDS,27,0,27,0,0,0,1.39,0
BRUNEI (DARUSSALAM),1380,0,349,800,34,197,4.53,126
BULGARIA,14076,8341,3198,2311,225,0,1.72,28
BURKINA FASO,220,0,215,0,5,0,0.02,13
BURUNDI,68,5,64,0,0,0,0.01,5
CAMBODIA,420,0,400,0,20,0,0.04,11
CANADA,135068,29139,58680,44323,1634,1292,4.52,1609
CAPE VERDE,40,0,40,0,0,0,0.1,23
CAYMAN ISLANDS,111,0,111,0,0,0,3.13,7
CENTRAL AFRICAN REPUBLIC,67,0,67,0,0,0,0.02,12
CHAD,39,0,39,0,0,0,0.01,16
CHILE,15379,5078,8475,1236,508,82,1.04,481
CHINA (MAINLAND),946144,712215,152282,12052,69595,0,0.76,794
COLOMBIA,17701,3354,9497,3399,1149,302,0.47,781
