Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,224,1,135,66,16,6,0.01,4
ALBANIA,814,30,761,8,14,0,0.26,31
ALGERIA,25101,593,6056,13898,1020,3535,0.83,434
ANDORRA,140,0,140,0,0,0,2.19,0
ANGOLA,2497,0,1012,286,28,1171,0.18,320
ANGUILLA,22,0,22,0,0,0,2.03,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,61
ANTIGUA & BARBUDA,90,0,90,0,0,0,1.19,40
ARGENTINA,40083,588,19654,18455,977,408,1.1,512
ARMENIA,822,2,160,621,39,0,0.27,18
ARUBA,493,0,493,0,0,0,5.58,61
AUSTRALIA,88722,51721,24311,11467,1013,210,4.68,2621
AUSTRIA,16872,3355,8732,4266,519,0,2.11,432
AZERBAIJAN,7793,0,4579,3190,24,0,0.97,142
BAHAMAS,457,1,455,0,0,0,1.55,202
BAHRAIN,4914,0,573,4320,21,0,7.84,283
BANGLADESH,6882,48,2288,4262,284,0,0.05,154
BARBADOS,330,0,271,25,34,0,1.24,140
BELARUS,15302,886,5404,8725,286,0,1.51,0
BELGIUM,31159,7046,14795,8329,990,0,3.07,5322
BELIZE,95,0,95,0,0,0,0.39,18
BENIN,426,0,399,0,27,0,0.07,26
BERMUDA,140,0,140,0,0,0,2.24,16
BHUTAN,105,48,37,0,20,0,0.19,1
BOSNIA & HERZEGOVINA,2830,2117,582,90,41,0,0.79,34
BOTSWANA,862,435,427,0,0,0,0.5,5
BRAZIL,87312,13149,63550,3797,5477,1339,0.51,2929
BRITISH VIRGIN ISLANDS,28,0,28,0,0,0,1.37,0
BRUNEI (DARUSSALAM),1066,0,422,455,28,161,3.33,103
BULGARIA,11994,6928,3108,1678,280,0,1.49,65
BURKINA FASO,254,0,230,0,24,0,0.02,14
BURUNDI,69,2,68,0,0,0,0.01,5
CAMBODIA,517,0,517,0,0,0,0.04,10
CANADA,140548,31030,62103,44436,1718,1261,4.63,1748
CAPE VERDE,50,0,50,0,0,0,0.12,27
CAYMAN ISLANDS,117,0,117,0,0,0,3.06,7
CENTRAL AFRICAN REPUBLIC,72,0,72,0,0,0,0.02,13
CHAD,44,0,44,0,0,0,0.01,17
CHILE,16772,5054,8776,2465,413,64,1.1,657
CHINA (MAINLAND),904842,649152,162869,14894,77928,0,0.72,3416
