Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,339,4,225,88,16,6,0.02,4
ALBANIA,569,44,484,14,27,0,0.18,0
ALGERIA,25987,528,7391,12888,928,4252,0.92,534
ANDORRA,116,0,116,0,0,0,1.79,0
ANGOLA,2993,0,2297,286,27,383,0.25,324
ANGUILLA,18,0,18,0,0,0,1.88,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,61
ANTIGUA & BARBUDA,75,0,75,0,0,0,1.1,38
ARGENTINA,34896,1010,17149,14518,741,1477,1,410
ARMENIA,930,2,183,714,31,0,0.29,29
ARUBA,455,0,455,0,0,0,5.66,54
AUSTRALIA,76864,41775,23651,10457,884,97,4.24,2295
AUSTRIA,16303,3604,8195,3981,523,0,2.05,373
AZERBAIJAN,9090,4,5427,3632,27,0,1.17,355
BAHAMAS,459,1,457,0,0,0,1.64,190
BAHRAIN,4041,0,454,3560,27,0,7.23,312
BANGLADESH,6222,333,2296,3556,38,0,0.05,41
BARBADOS,226,0,202,14,10,0,0.86,102
BELARUS,16573,1448,7781,7177,168,0,1.61,0
BELGIUM,30632,8558,14329,6627,1118,0,3.04,4155
BELIZE,103,0,103,0,0,0,0.47,8
BENIN,362,0,283,0,79,0,0.06,17
BERMUDA,145,0,145,0,0,0,2.36,14
BHUTAN,68,21,28,0,19,0,0.13,1
BOSNIA & HERZEGOVINA,935,376,452,77,31,0,0.28,32
BOTSWANA,831,539,292,0,0,0,0.52,5
BRAZIL,70452,12109,51280,2587,3843,634,0.44,1569
BRITISH VIRGIN ISLANDS,23,0,23,0,0,0,1.27,0
BRUNEI (DARUSSALAM),1306,0,297,746,0,262,4.51,117
BULGARIA,15818,8124,4836,2576,282,0,1.89,235
BURKINA FASO,171,0,167,0,4,0,0.02,9
BURUNDI,65,5,60,0,0,0,0.01,5
CAMBODIA,423,0,409,0,14,0,0.04,9
CANADA,127526,26832,56072,41916,1420,1286,4.35,1577
CAPE VERDE,33,0,33,0,0,0,0.08,19
CAYMAN ISLANDS,99,0,99,0,0,0,3.01,6
CENTRAL AFRICAN REPUBLIC,64,0,64,0,0,0,0.02,11
CHAD,30,0,30,0,0,0,0,16
CHILE,11384,2814,7324,714,445,86,0.79,483
CHINA (MAINLAND),905450,701352,127792,11582,64724,0,0.75,895
COLOMBIA,16257,3858,8677,2264,1279,179,0.45,744
COMOROS,20,0,20,0,0,0,0.04,1
CONGO,427,0,313,55,13,45,0.16,9
COOK ISLANDS,11,0,11,0,0,0,0.59,4
COSTA RICA,1327,0,1209,0,118,0,0.38,0
COTE D IVOIRE,1805,0,1644,26,136,0,0.12,133
CROATIA,4632,182,3010,1208,232,0,0.99,95
CUBA,7011,59,6742,9,200,0,0.64,233
CYPRUS,1468,14,1314,0,139,0,1.72,281
CZECH REPUBLIC,33769,24164,4857,4092,656,0,3.27,157
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,22610,19197,1102,0,2312,0,1.04,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),579,0,547,0,32,0,0.01,96
DENMARK,15591,6489,6682,1980,351,89,2.98,1890
DJIBOUTI,83,0,83,0,0,0,0.13,127
DOMINICA,22,0,22,0,0,0,0.31,0
DOMINICAN REPUBLIC,4332,80,4054,0,198,0,0.55,0
ECUADOR,6229,0,5341,127,356,405,0.55,216
EGYPT,26104,669,15933,7099,2402,0,0.42,2352
EL SALVADOR,1371,0,1250,0,121,0,0.24,43
EQUATORIAL GUINEA,35,0,35,0,0,0,0.08,2
ERITREA,255,0,248,0,7,0,0.08,122
ESTONIA,4778,3670,687,364,57,0,3.32,91
ETHIOPIA,699,0,616,0,83,0,0.01,42
FAEROE ISLANDS,156,0,156,0,0,0,3.58,11
FALKLAND ISLANDS (MALVINAS),12,4,8,0,0,0,4.94,0
FEDERATED STATES OF MICRONESIA,29,0,29,0,0,0,0.27,1
FIJI,208,14,182,0,12,0,0.27,105
FINLAND,14375,6390,6088,1773,123,0,2.81,529
FRANCE (INCLUDING MONACO),95217,15685,58381,18473,2678,0,1.65,5088
FRENCH GUIANA,159,0,151,0,8,0,1.14,17
FRENCH POLYNESIA,117,0,117,0,0,0,0.54,47
GABON,1261,0,235,70,21,934,1.16,173
GAMBIA,54,0,54,0,0,0,0.05,6
GEORGIA,628,43,111,461,14,0,0.12,2
