Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,665,68,469,106,15,7,0.05,5
ALBANIA,1169,404,608,75,82,0,0.36,0
ALGERIA,21557,734,7114,10488,859,2362,0.83,308
ANDORRA,111,0,111,0,0,0,2.01,0
ANGOLA,1388,0,623,296,35,435,0.13,599
ANGUILLA,14,0,14,0,0,0,1.64,0
ANTARCTIC FISHERIES,4,0,4,0,0,0,4.19,56
ANTIGUA & BARBUDA,73,0,73,0,0,0,1.16,32
ARGENTINA,31933,734,16712,12905,462,1120,0.96,410
ARUBA,459,0,459,0,0,0,7.1,48
AUSTRALIA,71304,40241,21427,8650,831,155,4.12,1724
AUSTRIA,16800,4483,8212,3423,682,0,2.18,280
BAHAMAS,486,1,485,0,0,0,1.86,193
BAHRAIN,3239,0,507,2712,20,0,6.39,68
BANGLADESH,4347,93,1745,2472,37,0,0.04,4
BARBADOS,329,0,290,12,27,0,1.26,92
BELGIUM,30259,9867,13959,5455,977,0,3.03,4442
BELIZE,98,0,98,0,0,0,0.5,13
BENIN,224,0,180,0,44,0,0.05,16
BERMUDA,147,0,147,0,0,0,2.44,15
BHUTAN,51,13,22,0,16,0,0.09,0
BOTSWANA,719,469,250,0,0,0,0.51,8
BRAZIL,59812,11191,42317,1981,3739,585,0.39,1076
BRITISH VIRGIN ISLANDS,18,0,18,0,0,0,1.04,0
BRUNEI (DARUSSALAM),1448,0,447,673,0,328,5.58,74
BULGARIA,15694,8129,4647,2595,323,0,1.8,190
BURKINA FASO,171,0,171,0,0,0,0.02,8
BURUNDI,65,4,61,0,0,0,0.01,4
CAMBODIA,356,0,356,0,0,0,0.04,9
CANADA,116384,26731,52473,34605,1278,1297,4.15,1487
CAPE VERDE,27,0,27,0,0,0,0.08,16
CAYMAN ISLANDS,74,0,74,0,0,0,2.69,5
CENTRAL AFRICAN REPUBLIC,56,0,56,0,0,0,0.02,10
CHAD,18,0,18,0,0,0,0,14
CHILE,8542,2355,5217,600,306,65,0.64,320
CHINA (MAINLAND),699644,559476,97413,8400,34355,0,0.6,1368
COLOMBIA,15577,3388,8733,2373,857,226,0.46,102
COMOROS,18,0,18,0,0,0,0.04,1
CONGO,274,0,213,1,14,46,0.11,5
COOK ISLANDS,10,0,10,0,0,0,0.57,4
COSTA RICA,910,0,815,0,95,0,0.29,0
COTE D IVOIRE,1244,0,1176,0,68,0,0.1,93
CUBA,8102,102,7709,19,272,0,0.76,239
CYPRUS,1279,11,1114,0,154,0,1.63,212
CZECHOSLOVAKIA,54764,38134,9083,6417,1129,0,3.51,0
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,32393,28535,1683,0,2176,0,1.58,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),808,0,774,0,34,0,0.02,120
DENMARK,16436,8610,6137,1285,274,130,3.19,1202
DJIBOUTI,85,0,85,0,0,0,0.15,122
DOMINICA,16,0,16,0,0,0,0.22,0
DOMINICAN REPUBLIC,2739,41,2529,0,168,0,0.37,0
ECUADOR,4499,0,3642,164,313,380,0.43,186
EGYPT,21466,736,14428,4068,2234,0,0.37,1163
EL SALVADOR,865,0,773,0,92,0,0.16,25
EQUATORIAL GUINEA,39,0,39,0,0,0,0.1,2
ETHIOPIA,814,0,775,0,39,0,0.02,55
FAEROE ISLANDS,182,0,182,0,0,0,3.87,8
FALKLAND ISLANDS (MALVINAS),11,4,8,0,0,0,5.44,0
FIJI,183,13,159,0,11,0,0.25,59
FINLAND,14644,5791,7232,1441,180,0,2.92,728
