Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,284,1,188,72,16,6,0.01,4
ALBANIA,478,15,444,9,11,0,0.16,0
ALGERIA,29179,576,9031,14913,1020,3639,0.98,435
ANDORRA,134,0,134,0,0,0,2.09,0
ANGOLA,1993,0,754,296,48,895,0.15,182
ANGUILLA,21,0,21,0,0,0,2,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,61
ANTIGUA & BARBUDA,87,0,87,0,0,0,1.17,39
ARGENTINA,38128,775,18989,16816,964,584,1.06,469
ARMENIA,917,4,111,762,41,0,0.29,18
ARUBA,490,0,490,0,0,0,5.64,59
AUSTRALIA,86415,50560,23778,11002,932,144,4.61,2535
AUSTRIA,17361,3371,9273,4193,524,0,2.18,448
AZERBAIJAN,8638,1,5718,2893,27,0,1.08,155
BAHAMAS,458,1,457,0,0,0,1.58,197
BAHRAIN,5019,0,819,4169,31,0,8.21,296
BANGLADESH,6558,96,2383,3909,169,0,0.05,150
BARBADOS,311,0,257,19,35,0,1.17,136
BELARUS,15844,1108,6018,8441,277,0,1.56,0
BELGIUM,32281,8071,15467,7791,952,0,3.19,6041
BELIZE,101,0,101,0,0,0,0.42,19
BENIN,331,0,304,0,27,0,0.05,26
BERMUDA,142,0,142,0,0,0,2.29,14
BHUTAN,104,49,35,0,20,0,0.19,1
BOSNIA & HERZEGOVINA,2889,2172,588,88,41,0,0.83,34
BOTSWANA,912,552,360,0,0,0,0.54,3
BRAZIL,85162,12710,62467,3377,5432,1175,0.5,2258
BRITISH VIRGIN ISLANDS,28,0,28,0,0,0,1.4,0
BRUNEI (DARUSSALAM),1437,0,388,832,29,188,4.6,115
BULGARIA,13362,7843,3328,1954,237,0,1.64,77
BURKINA FASO,235,0,230,0,5,0,0.02,15
BURUNDI,68,5,64,0,0,0,0.01,5
CAMBODIA,532,0,512,0,20,0,0.04,8
CANADA,138133,31093,61174,42545,1649,1674,4.59,1807
CAPE VERDE,43,0,43,0,0,0,0.1,24
CAYMAN ISLANDS,117,0,117,0,0,0,3.19,7
CENTRAL AFRICAN REPUBLIC,68,0,68,0,0,0,0.02,12
CHAD,41,0,41,0,0,0,0.01,16
CHILE,15719,4850,8518,1758,529,64,1.05,616
CHINA (MAINLAND),906557,667241,152637,13783,72896,0,0.73,1941
COLOMBIA,17992,3190,9650,3554,1250,348,0.47,744
COMOROS,24,0,24,0,0,0,0.05,1
CONGO,212,0,97,69,0,46,0.07,0
COOK ISLANDS,13,0,13,0,0,0,0.7,3
COSTA RICA,1450,0,1302,0,148,0,0.39,0
COTE D IVOIRE,1885,0,1350,447,88,0,0.12,150
CROATIA,5496,242,3593,1349,312,0,1.2,91
CUBA,6681,24,6360,63,233,0,0.61,335
CYPRUS,1747,19,1564,0,164,0,1.92,305
CZECH REPUBLIC,33418,22622,5370,4800,626,0,3.25,98
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,16122,14598,1089,0,435,0,0.72,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),455,0,437,0,18,0,0.01,98
DENMARK,16240,6002,7121,2668,344,105,3.06,1794
DJIBOUTI,86,0,86,0,0,0,0.13,125
DOMINICA,21,0,21,0,0,0,0.3,0
DOMINICAN REPUBLIC,5017,196,4566,0,256,0,0.6,55
ECUADOR,6125,0,5262,126,354,383,0.51,395
EGYPT,33336,762,22542,7176,2856,0,0.51,2161
EL SALVADOR,1585,1,1439,0,145,0,0.27,51
EQUATORIAL GUINEA,45,0,45,0,0,0,0.09,5
ERITREA,161,0,155,0,6,0,0.05,6
ESTONIA,4448,3261,773,370,44,0,3.2,105
ETHIOPIA,878,0,776,0,102,0,0.01,47
FAEROE ISLANDS,170,0,170,0,0,0,3.83,10
FALKLAND ISLANDS (MALVINAS),10,3,8,0,0,0,3.83,0
FEDERATED STATES OF MICRONESIA,32,0,32,0,0,0,0.3,1
FIJI,210,14,183,0,12,0,0.26,121
FINLAND,15541,5807,7502,2083,149,0,3.02,729
FRANCE (INCLUDING MONACO),102930,17528,61881,20869,2652,0,1.76,6110
FRENCH GUIANA,167,0,155,0,12,0,1.09,26
FRENCH POLYNESIA,122,0,122,0,0,0,0.53,47
GABON,1358,0,333,63,27,934,1.15,198
GAMBIA,58,0,58,0,0,0,0.05,7
GEORGIA,1353,21,828,476,27,0,0.28,88
GERMANY,233260,89420,92657,45425,4979,779,2.83,6700
GHANA,1746,0,1524,0,222,0,0.1,74
GIBRALTAR,84,0,84,0,0,0,3.08,2173
GREECE,23930,9579,11857,453,2040,0,2.2,3751
GREENLAND,144,0,144,0,0,0,2.58,0
GRENADA,48,0,48,0,0,0,0.47,5
GUADELOUPE,565,72,461,0,31,0,1.35,133
GUATEMALA,2387,0,2183,0,204,0,0.22,145
GUINEA,410,0,372,0,38,0,0.05,16
GUINEA BISSAU,47,0,47,0,0,0,0.04,7
GUYANA,452,0,452,0,0,0,0.62,10
HAITI,336,0,336,0,0,0,0.04,18
HONDURAS,1268,1,1145,0,122,0,0.21,21
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,10663,3906,5290,1258,209,0,1.62,4683
HUNGARY,16134,4565,5054,6106,408,0,1.57,162
ICELAND,573,68,489,0,16,0,2.08,139
INDIA,255310,158106,71750,12990,11560,904,0.25,564
INDONESIA,58413,8754,30888,13108,3038,2625,0.28,952
IRAQ,19736,0,17539,1505,272,420,0.88,366
IRELAND,10514,3045,5446,1750,272,0,2.84,489
ISLAMIC REPUBLIC OF IRAN,84131,1333,47727,26925,2897,5250,1.33,1190
ISRAEL,15570,6766,7917,6,881,0,2.7,709
ITALY (INCLUDING SAN MARINO),120031,12226,71043,31932,4830,0,2.11,3933
JAMAICA,2650,51,2523,0,76,0,1.05,155
JAPAN,315743,88444,178819,37418,11061,0,2.52,10049
JORDAN,3966,0,3478,128,360,0,0.85,188
KAZAKHSTAN,34721,22615,7624,4401,82,0,2.27,270
KENYA,2737,54,2490,0,194,0,0.09,73
