Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,450,44,310,90,7,0,0.02,9
ALBANIA,1063,20,967,6,71,0,0.34,38
ALGERIA,27562,737,9616,13457,1999,1753,0.83,604
ANDORRA,149,0,149,0,0,0,1.87,0
ANGOLA,6072,0,2117,356,187,3412,0.36,80
ANGUILLA,39,0,39,0,0,0,2.81,0
ANTARCTIC FISHERIES,2,0,2,0,0,0,1.67,63
ANTIGUA & BARBUDA,121,0,121,0,0,0,1.43,44
ARGENTINA,47842,1055,22356,22890,1214,327,1.23,860
ARMENIA,1195,1,251,857,85,0,0.39,33
ARUBA,741,0,741,0,0,0,7.21,72
AUSTRALIA,99631,57103,26766,14440,1224,98,4.8,3074
AUSTRIA,19679,4250,9984,4785,660,0,2.38,571
AZERBAIJAN,10681,0,3542,5586,221,1333,1.23,348
BAHAMAS,454,2,452,0,0,0,1.4,186
BAHRAIN,5135,0,838,4243,54,0,6.33,545
BANGLADESH,11874,494,2974,7712,694,0,0.08,258
BARBADOS,374,0,314,14,46,0,1.38,140
BELARUS,16927,627,5050,10775,475,0,1.73,0
BELGIUM,29199,4901,13814,9370,1114,0,2.79,8337
BELIZE,121,0,121,0,0,0,0.42,19
BENIN,1056,0,853,0,203,0,0.13,18
BERMUDA,178,0,178,0,0,0,2.77,32
BHUTAN,107,23,60,0,24,0,0.16,1
BOSNIA & HERZEGOVINA,4790,3520,905,199,167,0,1.27,4
BOTSWANA,1128,571,558,0,0,0,0.59,9
BRAZIL,94810,14254,62952,10928,5698,978,0.5,3968
BRITISH VIRGIN ISLANDS,39,0,39,0,0,0,1.73,0
BRUNEI (DARUSSALAM),1326,0,265,884,33,144,3.58,153
BULGARIA,13360,7365,3626,1812,557,0,1.74,240
BURKINA FASO,371,0,367,0,4,0,0.03,14
BURUNDI,51,4,47,0,0,0,0.01,6
CAMBODIA,818,0,818,0,0,0,0.06,15
CANADA,148301,30530,65084,49657,1950,1080,4.55,1292
CAPE VERDE,129,0,129,0,0,0,0.27,66
CAYMAN ISLANDS,132,0,132,0,0,0,2.46,9
CENTRAL AFRICAN REPUBLIC,68,0,68,0,0,0,0.02,24
CHAD,111,0,111,0,0,0,0.01,16
CHILE,17675,3422,9753,3912,559,29,1.07,1411
CHINA (MAINLAND),1780554,1338803,245233,28317,168201,0,1.35,8267
COLOMBIA,17164,2552,9272,3830,1365,145,0.39,876
COMOROS,44,0,44,0,0,0,0.07,2
CONGO,305,0,279,12,14,0,0.08,34
COOK ISLANDS,18,0,18,0,0,0,0.89,2
COSTA RICA,1936,40,1706,0,190,0,0.44,0
COTE D IVOIRE,1908,0,1004,855,49,0,0.1,132
CROATIA,6165,647,3560,1468,489,0,1.39,89
CUBA,7474,7,6667,568,232,0,0.66,175
CYPRUS,2124,39,1841,0,243,0,2.03,510
CZECH REPUBLIC,33299,22281,5698,4743,577,0,3.25,278
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,20971,19533,599,0,838,0,0.88,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),439,0,362,6,71,0,0.01,174
DENMARK,14995,5719,5937,2833,399,107,2.76,1602
DJIBOUTI,112,0,112,0,0,0,0.14,89
DOMINICA,31,0,31,0,0,0,0.45,2
DOMINICAN REPUBLIC,5395,510,4211,161,514,0,0.57,356
ECUADOR,7870,0,6699,208,559,404,0.58,528
EGYPT,48701,799,22841,20151,4910,0,0.64,1595
EL SALVADOR,1867,1,1688,0,178,0,0.31,62
EQUATORIAL GUINEA,1297,0,154,739,0,404,2.07,29
ERITREA,153,0,147,0,6,0,0.03,6
ESTONIA,4411,3270,521,505,115,0,3.28,212
ETHIOPIA,1501,0,1266,0,235,0,0.02,128
FAEROE ISLANDS,185,0,185,0,0,0,3.82,21
FALKLAND ISLANDS (MALVINAS),16,3,13,0,0,0,5.31,0
FEDERATED STATES OF MICRONESIA,33,0,33,0,0,0,0.3,1
FIJI,332,0,313,0,19,0,0.4,182
FINLAND,18053,7833,7570,2421,229,0,3.43,875
FRANCE (INCLUDING MONACO),102472,13364,61296,24747,3065,0,1.67,7099
FRENCH GUIANA,129,0,121,0,8,0,0.62,28
FRENCH POLYNESIA,225,0,225,0,0,0,0.87,44
GABON,1138,0,394,79,35,630,0.81,209
GAMBIA,84,0,83,1,0,0,0.05,9
GEORGIA,1677,49,572,994,61,1,0.38,36
GERMANY,222654,89858,78686,49527,4574,9,2.7,8912
