Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,2308,627,1601,74,5,0,0.08,9
ALBANIA,1254,117,953,7,177,0,0.43,7
ALGERIA,32500,332,12381,14565,2598,2623,0.9,663
ANDORRA,141,0,141,0,0,0,1.68,0
ANGOLA,7924,0,3649,374,204,3697,0.37,321
ANGUILLA,41,0,41,0,0,0,2.98,0
ANTIGUA & BARBUDA,143,0,143,0,0,0,1.64,39
ARGENTINA,51246,1089,24606,23725,1418,407,1.24,1542
ARMENIA,1150,3,275,806,66,0,0.39,37
ARUBA,684,0,684,0,0,0,6.73,74
AUSTRALIA,106589,56257,31308,17763,1129,132,4.81,3307
AUSTRIA,18408,3537,9218,5073,579,0,2.19,575
AZERBAIJAN,8366,6,2373,4904,174,909,0.92,398
BAHAMAS,451,1,450,0,0,0,1.25,179
BAHRAIN,7981,0,1123,6696,163,0,6.33,545
BANGLADESH,16345,839,2881,10753,1873,0,0.11,313
BARBADOS,403,0,363,8,31,1,1.44,108
BELARUS,17192,620,4620,11336,616,0,1.81,0
BELGIUM,30222,3787,14993,10613,829,0,2.77,7916
BELIZE,147,0,143,3,0,0,0.46,11
BENIN,1388,0,1211,0,177,0,0.15,127
BERMUDA,166,0,166,0,0,0,2.59,50
BHUTAN,133,21,85,0,27,0,0.19,1
BOSNIA & HERZEGOVINA,5802,4332,1217,125,129,0,1.51,4
BOTSWANA,1278,576,667,0,35,0,0.62,14
BRAZIL,114468,15965,74689,14372,8040,1402,0.58,5101
BRITISH VIRGIN ISLANDS,47,0,47,0,0,0,1.72,0
BRUNEI (DARUSSALAM),2237,0,434,1672,37,94,5.69,167
BULGARIA,12030,7284,3042,1437,267,0,1.62,223
BURKINA FASO,535,0,455,0,80,0,0.03,30
BURUNDI,58,5,53,0,0,0,0.01,4
CAMBODIA,1367,9,1252,0,107,0,0.1,32
CANADA,145806,24504,69694,49114,1691,804,4.27,1518
CAPE VERDE,152,0,152,0,0,0,0.31,71
CAYMAN ISLANDS,152,0,152,0,0,0,2.75,9
CENTRAL AFRICAN REPUBLIC,72,0,72,0,0,0,0.02,27
CHAD,141,0,141,0,0,0,0.01,15
CHILE,19703,4510,11861,2791,526,14,1.16,768
CHINA (MAINLAND),2393248,1792793,298191,54472,247792,0,1.78,11687
