Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,353,4,234,92,16,6,0.02,4
ALBANIA,525,46,438,27,14,0,0.17,0
ALGERIA,23566,624,8311,10204,824,3604,0.85,477
ANDORRA,111,0,111,0,0,0,1.75,0
ANGOLA,1061,0,354,265,33,409,0.09,359
ANGUILLA,18,0,18,0,0,0,1.84,0
ANTARCTIC FISHERIES,4,0,4,0,0,0,4.19,56
ANTIGUA & BARBUDA,73,0,73,0,0,0,1.09,38
ARGENTINA,33381,972,18342,11648,854,1566,0.97,334
ARMENIA,738,26,257,441,14,0,0.22,41
ARUBA,440,0,440,0,0,0,5.73,53
AUSTRALIA,75844,41219,23914,9739,884,87,4.23,2079
AUSTRIA,15559,3167,8088,3646,657,0,1.97,333
AZERBAIJAN,11447,1,6832,4550,64,0,1.49,266
BAHAMAS,460,1,459,0,0,0,1.67,188
BAHRAIN,4033,0,658,3344,31,0,7.4,296
BANGLADESH,5173,27,1977,3131,38,0,0.04,0
BARBADOS,204,0,182,12,11,0,0.78,95
BELARUS,17741,1617,8320,7603,202,0,1.72,0
BELGIUM,30634,8924,14525,6041,1144,0,3.05,4277
BELIZE,102,0,102,0,0,0,0.48,11
BENIN,345,0,282,0,63,0,0.06,17
BERMUDA,145,0,145,0,0,0,2.37,13
BHUTAN,58,17,24,0,16,0,0.11,1
BOSNIA & HERZEGOVINA,881,321,440,88,33,0,0.25,31
BOTSWANA,827,533,294,0,0,0,0.53,4
BRAZIL,66036,11485,48074,2411,3431,634,0.41,1539
BRITISH VIRGIN ISLANDS,22,0,22,0,0,0,1.2,0
BRUNEI (DARUSSALAM),1280,0,369,717,0,194,4.54,114
BULGARIA,14770,8037,4369,2104,260,0,1.75,227
BURKINA FASO,176,0,176,0,0,0,0.02,9
BURUNDI,64,5,59,0,0,0,0.01,4
CAMBODIA,403,0,389,0,14,0,0.04,9
CANADA,124584,26261,55047,40603,1439,1234,4.29,1505
CAPE VERDE,31,0,31,0,0,0,0.08,18
CAYMAN ISLANDS,99,0,99,0,0,0,3.14,6
CENTRAL AFRICAN REPUBLIC,64,0,64,0,0,0,0.02,11
CHAD,28,0,28,0,0,0,0,16
CHILE,10391,2555,6614,718,407,97,0.73,458
CHINA (MAINLAND),833990,649724,115642,11345,57280,0,0.69,2426
COLOMBIA,18427,3715,10797,2450,1268,197,0.51,127
COMOROS,19,0,19,0,0,0,0.04,1
CONGO,586,0,473,55,12,46,0.22,7
COOK ISLANDS,11,0,11,0,0,0,0.6,4
COSTA RICA,1437,0,1309,0,128,0,0.42,0
COTE D IVOIRE,1278,0,1128,0,150,0,0.09,131
CROATIA,4497,235,2676,1307,279,0,0.97,110
CUBA,8794,64,8573,10,147,0,0.81,145
CYPRUS,1539,20,1376,0,143,0,1.84,256
CZECH REPUBLIC,34288,24708,5243,3616,721,0,3.32,148
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,24098,20957,829,0,2312,0,1.12,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),447,0,424,0,23,0,0.01,93
DENMARK,16635,8059,6420,1710,330,115,3.19,1815
DJIBOUTI,83,0,83,0,0,0,0.14,125
DOMINICA,18,0,18,0,0,0,0.26,0
DOMINICAN REPUBLIC,3402,75,3153,0,174,0,0.44,0
ECUADOR,3723,0,2906,132,294,391,0.33,211
EGYPT,23265,1008,14566,5502,2190,0,0.38,2389
