Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,713,76,505,110,15,7,0.05,5
ALBANIA,1504,682,593,127,102,0,0.46,0
ALGERIA,20990,803,6333,10619,862,2373,0.83,286
ANDORRA,111,0,111,0,0,0,2.09,0
ANGOLA,1395,0,676,276,35,409,0.13,596
ANGUILLA,14,0,14,0,0,0,1.71,0
ANTARCTIC FISHERIES,3,0,3,0,0,0,2.51,55
ANTIGUA & BARBUDA,77,0,77,0,0,0,1.24,31
ARGENTINA,30583,838,16154,11794,491,1306,0.94,628
ARUBA,447,0,447,0,0,0,7.19,35
AUSTRALIA,71913,38997,22580,9238,962,136,4.21,1730
AUSTRIA,15731,4285,7543,3238,666,0,2.05,251
BAHAMAS,532,1,531,0,0,0,2.08,193
BAHRAIN,3389,0,516,2853,20,0,6.88,27
BANGLADESH,4236,292,1830,2068,46,0,0.04,9
BARBADOS,293,0,251,15,27,0,1.13,92
BELGIUM,28920,10431,12445,5102,942,0,2.91,4382
BELIZE,85,0,85,0,0,0,0.45,10
BENIN,193,0,152,0,41,0,0.04,15
BERMUDA,137,0,137,0,0,0,2.3,15
BHUTAN,35,13,22,0,0,0,0.06,0
BOTSWANA,737,477,260,0,0,0,0.53,9
BRAZIL,56964,9749,41067,2025,3509,614,0.38,860
BRITISH VIRGIN ISLANDS,18,0,18,0,0,0,1.07,0
BRUNEI (DARUSSALAM),1689,0,420,1253,0,16,6.7,58
BULGARIA,20311,9799,6839,3033,641,0,2.3,204
BURKINA FASO,159,0,159,0,0,0,0.02,8
BURUNDI,57,4,53,0,0,0,0.01,4
CAMBODIA,344,0,344,0,0,0,0.04,9
CANADA,118675,25598,56103,34191,1591,1191,4.28,1526
CAPE VERDE,26,0,26,0,0,0,0.07,15
CAYMAN ISLANDS,68,0,68,0,0,0,2.6,5
CENTRAL AFRICAN REPUBLIC,54,0,54,0,0,0,0.02,10
CHAD,39,0,39,0,0,0,0.01,14
CHILE,9085,2922,5056,713,288,105,0.69,311
CHINA (MAINLAND),666057,539488,90012,7997,28560,0,0.58,1283
COLOMBIA,15636,3789,8491,2285,850,220,0.47,89
COMOROS,17,0,17,0,0,0,0.04,1
CONGO,324,0,265,1,12,46,0.14,4
COOK ISLANDS,10,0,10,0,0,0,0.57,4
COSTA RICA,806,0,722,0,84,0,0.26,0
COTE D IVOIRE,1373,0,1305,0,68,0,0.11,82
CUBA,9093,150,8517,19,408,0,0.86,268
CYPRUS,1193,78,961,0,154,0,1.56,251
CZECHOSLOVAKIA,59383,42182,9782,6032,1387,0,3.79,0
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,33803,29415,2212,0,2176,0,1.68,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),1110,209,838,0,63,0,0.03,116
DENMARK,13698,6275,5998,1135,226,63,2.66,1318
DJIBOUTI,88,0,88,0,0,0,0.16,122
DOMINICA,16,0,16,0,0,0,0.22,0
DOMINICAN REPUBLIC,2517,7,2367,0,144,0,0.35,0
ECUADOR,4589,0,3688,139,306,456,0.45,177
EGYPT,20710,917,14323,3552,1918,0,0.36,1411
EL SALVADOR,685,0,598,0,87,0,0.13,31
EQUATORIAL GUINEA,18,0,18,0,0,0,0.05,2
ETHIOPIA,823,0,777,0,46,0,0.02,53
FAEROE ISLANDS,194,0,194,0,0,0,4.08,8
FALKLAND ISLANDS (MALVINAS),11,4,8,0,0,0,5.63,0
FEDERAL REPUBLIC OF GERMANY,191890,79117,78159,30148,4148,317,3.13,5065
FIJI,222,17,193,0,11,0,0.3,74
FINLAND,14111,5521,6999,1363,227,0,2.83,769
FORMER DEMOCRATIC YEMEN,1590,0,1590,0,0,0,0.64,292
FORMER GERMAN DEMOCRATIC REPUBLIC,84557,65097,14761,3717,983,0,5.2,0
FORMER YEMEN,1027,0,914,0,113,0,0.11,43
FRANCE (INCLUDING MONACO),102452,20441,62162,16259,3590,0,1.81,4788
FRENCH GUIANA,172,0,172,0,0,0,1.47,19
FRENCH POLYNESIA,119,0,119,0,0,0,0.61,54
GABON,1227,0,231,56,16,924,1.32,74
GAMBIA,48,0,48,0,0,0,0.05,4
GHANA,1041,2,947,0,92,0,0.07,50
GIBRALTAR,39,0,39,0,0,0,1.44,1524
GREECE,20256,8656,9663,86,1850,1,1.99,2891
