Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,259,25,162,62,10,0,0.01,0
ALBANIA,1136,23,1026,9,78,0,0.36,41
ALGERIA,24137,525,8957,11247,1496,1912,0.75,466
ANDORRA,153,0,153,0,0,0,2.03,0
ANGOLA,5125,0,1374,393,103,3255,0.32,351
ANGUILLA,33,0,33,0,0,0,2.5,0
ANTARCTIC FISHERIES,2,0,2,0,0,0,1.67,63
ANTIGUA & BARBUDA,115,0,115,0,0,0,1.38,44
ARGENTINA,42975,600,18508,22629,851,388,1.12,1062
ARMENIA,994,0,251,675,68,0,0.32,32
ARUBA,714,0,714,0,0,0,7.21,70
AUSTRALIA,93455,53496,25942,12839,1088,89,4.65,2661
AUSTRIA,19741,4158,10132,4858,592,0,2.41,486
AZERBAIJAN,8751,0,3475,5083,194,0,1.03,274
BAHAMAS,470,2,468,0,0,0,1.49,184
BAHRAIN,4775,0,1038,3683,54,0,7.11,432
BANGLADESH,10282,396,2904,6302,680,0,0.07,243
BARBADOS,353,0,296,13,44,0,1.31,151
BELARUS,15860,628,4486,10375,371,0,1.61,0
BELGIUM,30298,5734,14551,9100,913,0,2.93,7999
BELIZE,107,0,107,0,0,0,0.39,18
BENIN,684,0,650,0,34,0,0.09,21
BERMUDA,159,0,159,0,0,0,2.49,17
BHUTAN,84,7,54,0,23,0,0.13,1
BOSNIA & HERZEGOVINA,4257,3027,929,159,142,0,1.13,4
BOTSWANA,1063,541,522,0,0,0,0.57,7
BRAZIL,92126,14857,61763,9844,4680,982,0.5,3775
BRITISH VIRGIN ISLANDS,34,0,34,0,0,0,1.58,0
BRUNEI (DARUSSALAM),1363,0,275,885,33,170,3.83,143
BULGARIA,12763,7701,3105,1557,400,0,1.64,226
BURKINA FASO,301,0,297,0,4,0,0.02,14
BURUNDI,54,2,52,0,0,0,0.01,5
CAMBODIA,667,0,667,0,0,0,0.05,14
CANADA,150586,30162,68779,48733,1885,1026,4.71,1264
CAPE VERDE,90,0,90,0,0,0,0.19,25
CAYMAN ISLANDS,126,0,126,0,0,0,2.5,9
CENTRAL AFRICAN REPUBLIC,64,0,64,0,0,0,0.02,22
CHAD,103,0,103,0,0,0,0.01,15
CHILE,16301,2806,8549,4380,517,49,1.01,1138
CHINA (MAINLAND),1427199,1046749,229010,19520,131920,0,1.1,6109
COLOMBIA,15018,1987,8058,3643,1064,265,0.35,742
COMOROS,39,0,39,0,0,0,0.06,2
CONGO,259,0,249,10,0,0,0.08,0
COOK ISLANDS,15,0,15,0,0,0,0.79,2
COSTA RICA,1890,84,1602,0,204,0,0.45,0
COTE D IVOIRE,2090,0,1187,815,88,0,0.12,154
CROATIA,6102,697,3352,1535,518,0,1.37,78
CUBA,6819,28,6232,369,191,0,0.61,168
CYPRUS,2000,42,1728,0,230,0,1.97,299
CZECH REPUBLIC,31845,20585,5875,4864,521,0,3.12,241
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,19732,18031,935,0,766,0,0.84,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),327,0,272,0,55,0,0.01,109
DENMARK,13799,4482,5977,2894,292,154,2.56,1335
DJIBOUTI,111,0,111,0,0,0,0.14,118
DOMINICA,31,0,31,0,0,0,0.45,1
DOMINICAN REPUBLIC,4993,563,4005,65,361,0,0.55,84
ECUADOR,7921,0,6730,310,472,409,0.6,344
EGYPT,41154,871,20643,15727,3912,0,0.56,2176
EL SALVADOR,1736,1,1563,0,172,0,0.29,62
EQUATORIAL GUINEA,1423,0,280,336,0,807,2.41,27
ERITREA,210,0,204,0,6,0,0.05,9
ESTONIA,4713,3594,552,484,84,0,3.5,155
ETHIOPIA,1444,0,1265,0,179,0,0.02,84
FAEROE ISLANDS,204,0,204,0,0,0,4.26,10
FALKLAND ISLANDS (MALVINAS),14,3,11,0,0,0,4.77,0
FEDERATED STATES OF MICRONESIA,39,0,39,0,0,0,0.35,1
FIJI,369,0,353,0,16,0,0.45,207
FINLAND,18296,7882,7771,2467,176,0,3.5,797
FRANCE (INCLUDING MONACO),104652,13930,62795,25076,2851,0,1.73,6964
FRENCH GUIANA,156,0,148,0,8,0,0.8,27
FRENCH POLYNESIA,208,0,208,0,0,0,0.83,50
GABON,1278,0,331,73,35,840,0.95,229
GAMBIA,80,0,80,1,0,0,0.06,8
GEORGIA,1179,47,423,650,58,1,0.26,27
GERMANY,222744,90065,80754,47584,4332,10,2.7,8200
GHANA,2004,0,1746,0,258,0,0.09,112
GIBRALTAR,105,0,105,0,0,0,3.66,3115
GREECE,26493,9786,13270,1392,2045,0,2.38,3519
GREENLAND,159,0,159,0,0,0,2.79,57
GRENADA,56,0,56,0,0,0,0.55,5
GUADELOUPE,631,105,495,0,31,0,1.43,109
GUATEMALA,3169,308,2561,0,299,0,0.26,141
GUINEA,530,0,481,0,49,0,0.06,18
GUINEA BISSAU,55,0,55,0,0,0,0.04,9
GUYANA,444,0,444,0,0,0,0.6,9
HAITI,542,0,501,0,41,0,0.06,20
HONDURAS,2009,126,1694,0,189,0,0.3,24
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,11374,6324,3758,1152,141,0,1.67,9282
HUNGARY,15669,3642,4213,7315,487,11,1.55,193
ICELAND,612,106,491,0,14,0,2.09,158
INDIA,314786,202101,80954,13533,17680,519,0.28,2409
INDONESIA,92074,21198,47460,16890,4519,2006,0.41,961
IRAQ,31111,0,26061,510,340,4200,1.17,548
IRELAND,11934,2579,6398,2277,680,0,2.92,701
ISLAMIC REPUBLIC OF IRAN,121908,1363,60478,48826,4379,6861,1.77,1148
ISRAEL,16095,8200,6690,595,611,0,2.49,1064
ITALY (INCLUDING SAN MARINO),129253,17166,64686,41234,6167,0,2.22,4343
JAMAICA,2910,48,2752,0,110,0,1.09,192
JAPAN,345244,120877,171113,44091,9163,0,2.73,10390
JORDAN,5247,0,3969,747,531,0,1.01,106
KAZAKHSTAN,47192,28831,9235,8629,498,0,3.13,182
KENYA,2079,78,1758,0,243,0,0.06,477
KIRIBATI,12,0,12,0,0,0,0.13,2
KUWAIT,17326,0,10624,6213,358,131,7.91,1151
KYRGYZSTAN,1602,645,421,418,118,0,0.32,43
LAO PEOPLE S DEMOCRATIC REPUBLIC,380,244,102,0,34,0,0.07,8
LATVIA,2019,70,1078,832,39,0,0.87,215
LEBANON,4581,137,3846,0,598,0,1.15,125
LESOTHO,541,429,112,0,0,0,0.26,0
LIBERIA,168,0,152,0,16,0,0.05,14
LIBYAN ARAB JAMAHIRIYAH,13733,0,9260,3511,490,472,2.43,255
LITHUANIA,3612,190,1854,1466,102,0,1.05,127
