Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,1147,294,767,81,5,0,0.04,9
ALBANIA,1193,28,1036,4,125,0,0.38,7
ALGERIA,30054,821,10197,14069,2366,2600,0.84,617
ANDORRA,147,0,147,0,0,0,1.83,0
ANGOLA,7011,0,2789,347,242,3633,0.38,357
ANGUILLA,41,0,41,0,0,0,3.07,0
ANTIGUA & BARBUDA,131,0,131,0,0,0,1.54,46
ARGENTINA,51570,1058,24197,24596,1320,399,1.3,1281
ARMENIA,1516,5,282,1125,105,0,0.51,48
ARUBA,725,0,725,0,0,0,7.15,75
AUSTRALIA,105237,56795,29200,17859,1278,106,4.86,3250
AUSTRIA,18824,3911,9422,4768,722,0,2.26,606
AZERBAIJAN,9682,4,2895,5660,217,906,1.09,417
BAHAMAS,408,1,407,0,0,0,1.17,260
BAHRAIN,8118,0,1789,6269,60,0,7.27,635
BANGLADESH,13502,674,2673,8795,1360,0,0.09,298
BARBADOS,442,0,392,9,41,1,1.59,134
BELARUS,17209,555,5029,11051,574,0,1.8,0
BELGIUM,28482,4440,13862,9268,913,0,2.64,9679
BELIZE,119,0,119,0,0,0,0.41,13
BENIN,1203,0,1020,0,183,0,0.13,35
BERMUDA,177,0,177,0,0,0,2.73,58
BHUTAN,115,31,59,0,24,0,0.17,1
BOSNIA & HERZEGOVINA,5496,3978,1119,208,191,0,1.42,4
BOTSWANA,1229,533,696,0,0,0,0.64,14
BRAZIL,105708,15273,68994,13245,7056,1139,0.55,5238
BRITISH VIRGIN ISLANDS,44,0,44,0,0,0,1.69,0
BRUNEI (DARUSSALAM),2487,0,561,1772,33,121,6.41,154
BULGARIA,13837,8077,3306,1820,633,0,1.84,280
BURKINA FASO,523,0,459,0,64,0,0.04,17
BURUNDI,52,4,49,0,0,0,0.01,5
CAMBODIA,1063,0,958,0,105,0,0.08,30
CANADA,152994,30383,70541,49255,1859,956,4.58,1168
CAPE VERDE,128,0,128,0,0,0,0.26,92
CAYMAN ISLANDS,159,0,159,0,0,0,3.01,13
CENTRAL AFRICAN REPUBLIC,69,0,69,0,0,0,0.02,26
CHAD,139,0,139,0,0,0,0.01,15
CHILE,19594,4567,12978,1317,629,103,1.16,1442
CHINA (MAINLAND),2059741,1563721,264770,40850,190400,0,1.53,8941
COLOMBIA,18568,2939,9294,4781,1422,132,0.41,817
COMOROS,29,0,29,0,0,0,0.05,2
CONGO,357,0,330,13,14,0,0.09,84
COOK ISLANDS,19,0,19,0,0,0,0.96,2
COSTA RICA,2217,80,1851,0,286,0,0.49,0
COTE D IVOIRE,1848,0,970,829,49,0,0.1,103
CROATIA,6161,719,3370,1609,463,0,1.41,105
CUBA,8302,25,7437,608,232,0,0.73,144
CYPRUS,2339,29,2050,0,260,0,2.17,462
CZECH REPUBLIC,31813,20824,5867,4480,641,0,3.06,294
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,19398,17793,733,0,872,0,0.8,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),507,0,439,12,56,0,0.01,13
DENMARK,12799,4062,5777,2544,339,78,2.33,1535
DJIBOUTI,136,0,136,0,0,0,0.17,80
DOMINICA,36,0,36,0,0,0,0.51,2
DOMINICAN REPUBLIC,5648,576,4247,253,572,0,0.58,361
ECUADOR,9236,0,7872,212,747,404,0.64,843
EGYPT,54155,779,25220,22738,5419,0,0.72,2718
EL SALVADOR,1785,0,1608,0,177,0,0.29,95
EQUATORIAL GUINEA,1228,0,166,780,0,283,1.87,30
