Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,367,5,244,96,16,6,0.02,5
ALBANIA,637,164,404,43,27,0,0.2,0
ALGERIA,22419,525,7640,9852,870,3532,0.83,422
ANDORRA,112,0,112,0,0,0,1.85,0
ANGOLA,1575,0,810,286,34,445,0.14,251
ANGUILLA,18,0,18,0,0,0,1.9,0
ANTARCTIC FISHERIES,4,0,4,0,0,0,4.19,56
ANTIGUA & BARBUDA,74,0,74,0,0,0,1.13,34
ARGENTINA,32159,628,18327,11137,768,1297,0.95,332
ARMENIA,697,2,256,411,27,0,0.21,56
ARUBA,435,0,435,0,0,0,6,52
AUSTRALIA,75647,41576,23889,9321,748,114,4.27,1976
AUSTRIA,15572,3120,8234,3545,672,0,1.99,318
AZERBAIJAN,13213,3,8411,4717,82,0,1.75,203
BAHAMAS,464,1,462,0,0,0,1.71,191
BAHRAIN,3993,0,548,3414,31,0,7.5,258
BANGLADESH,4747,33,1841,2836,37,0,0.04,0
BARBADOS,304,0,282,14,8,0,1.16,69
BELARUS,20935,1865,10008,8804,258,0,2.03,0
BELGIUM,29357,8301,14146,5875,1035,0,2.93,4440
BELIZE,103,0,103,0,0,0,0.5,9
BENIN,309,0,240,0,69,0,0.06,16
BERMUDA,147,0,147,0,0,0,2.41,13
BHUTAN,50,12,23,0,15,0,0.09,1
BOSNIA & HERZEGOVINA,3437,2977,367,73,20,0,0.93,26
BOTSWANA,872,525,347,0,0,0,0.58,3
BRAZIL,62923,11029,45589,2324,3379,602,0.4,1304
BRITISH VIRGIN ISLANDS,20,0,20,0,0,0,1.13,0
BRUNEI (DARUSSALAM),1355,0,438,756,0,161,4.94,87
BULGARIA,18506,8800,7298,2136,273,0,2.16,177
BURKINA FASO,171,0,171,0,0,0,0.02,9
BURUNDI,62,5,58,0,0,0,0.01,5
CAMBODIA,378,0,378,0,0,0,0.04,9
CANADA,121511,25479,55191,38700,907,1234,4.23,1415
CAPE VERDE,30,0,30,0,0,0,0.08,18
CAYMAN ISLANDS,90,0,90,0,0,0,3.01,5
CENTRAL AFRICAN REPUBLIC,61,0,61,0,0,0,0.02,10
CHAD,25,0,25,0,0,0,0,15
CHILE,9443,2082,6228,668,411,54,0.68,364
CHINA (MAINLAND),785027,608282,116962,9751,50032,0,0.66,2250
COLOMBIA,17459,3877,9835,2359,1078,309,0.5,102
COMOROS,19,0,19,0,0,0,0.04,1
CONGO,360,0,244,55,16,46,0.14,7
COOK ISLANDS,11,0,11,0,0,0,0.6,4
COSTA RICA,1078,0,961,0,117,0,0.33,0
COTE D IVOIRE,1458,0,1390,0,68,0,0.11,99
CROATIA,4568,373,2576,1389,229,0,0.99,50
CUBA,8012,60,7797,12,143,0,0.74,169
CYPRUS,1486,22,1315,0,148,0,1.81,240
CZECH REPUBLIC,36169,26493,5241,3702,733,0,3.5,121
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,26320,22781,1227,0,2312,0,1.24,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),707,0,687,0,20,0,0.02,117
DENMARK,15562,7544,6062,1530,309,117,3,1628
DJIBOUTI,85,0,85,0,0,0,0.14,123
DOMINICA,17,0,17,0,0,0,0.24,0
DOMINICAN REPUBLIC,3208,87,2948,0,173,0,0.42,0
ECUADOR,6601,0,5764,146,285,406,0.6,198
EGYPT,25404,932,17244,5052,2176,0,0.42,1484
EL SALVADOR,1035,0,918,0,117,0,0.19,39
EQUATORIAL GUINEA,27,0,27,0,0,0,0.06,3
ESTONIA,5320,3965,1065,222,68,0,3.55,145
ETHIOPIA,826,0,778,0,48,0,0,56
FAEROE ISLANDS,159,0,159,0,0,0,3.54,12
FALKLAND ISLANDS (MALVINAS),11,4,8,0,0,0,5.01,0
FEDERATED STATES OF MICRONESIA,27,0,27,0,0,0,0.26,1
FIJI,205,14,179,0,11,0,0.27,89
FINLAND,13745,5755,6325,1551,114,0,2.72,679
FRANCE (INCLUDING MONACO),98150,15202,61986,18180,2783,0,1.71,4921
FRENCH GUIANA,191,0,191,0,0,0,1.46,18
FRENCH POLYNESIA,116,0,116,0,0,0,0.56,43
GABON,1361,0,295,56,18,992,1.33,226
GAMBIA,51,0,51,0,0,0,0.05,6
GEORGIA,2714,174,617,1882,41,0,0.52,9
GERMANY,239336,103953,92901,37310,4984,188,2.96,5973
GHANA,1240,2,1073,0,164,0,0.08,56
GIBRALTAR,65,0,65,0,0,0,2.41,1535
GREECE,20647,8769,10102,58,1716,1,1.97,3377
GREENLAND,136,0,136,0,0,0,2.45,0
GRENADA,33,0,33,0,0,0,0.34,5
GUADELOUPE,375,0,344,0,31,0,0.94,62
GUATEMALA,1543,0,1386,5,152,0,0.16,0
GUINEA,297,0,297,0,0,0,0.04,15
GUINEA BISSAU,50,0,50,0,0,0,0.05,7
GUYANA,285,0,285,0,0,0,0.39,10
HAITI,181,0,167,0,14,0,0.02,9
HONDURAS,777,0,679,0,98,0,0.15,0
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,9535,6548,2755,0,233,0,1.6,3447
HUNGARY,16885,5220,6099,5222,344,0,1.63,104
ICELAND,539,47,481,0,12,0,2.05,80
INDIA,197354,130654,51004,7368,7318,1010,0.21,684
INDONESIA,59613,5816,32047,15737,2575,3439,0.31,464
IRAQ,17279,0,15645,1336,272,26,0.91,304
IRELAND,8525,3289,3692,1347,197,0,2.39,402
ISLAMIC REPUBLIC OF IRAN,64689,1128,39992,16564,2176,4830,1.12,1057
ISRAEL,12292,4124,7537,13,617,0,2.47,679
ITALY (INCLUDING SAN MARINO),112331,11023,70514,26201,4593,0,1.97,3623
JAMAICA,2183,40,2082,0,61,0,0.9,149
JAPAN,302669,80362,179862,30471,11974,0,2.45,9346
JORDAN,3300,0,2744,79,478,0,0.82,193
KAZAKHSTAN,59346,38934,13277,6591,544,0,3.64,279
KENYA,1731,96,1443,0,193,0,0.07,142
KIRIBATI,8,0,8,0,0,0,0.1,1
KUWAIT,9074,0,4757,4144,68,105,5.05,559
KYRGYZSTAN,2351,938,686,632,95,0,0.52,14
LAO PEOPLE S DEMOCRATIC REPUBLIC,70,1,68,0,1,0,0.02,6
LATVIA,3277,515,2011,710,41,0,1.27,51
LEBANON,3186,80,2698,0,408,0,0.98,104
LESOTHO,446,351,95,0,0,0,0.26,0
LIBERIA,86,0,85,0,1,0,0.04,14
LIBYAN ARAB JAMAHIRIYAH,10621,3,6968,2428,313,908,2.31,277
LITHUANIA,4771,445,3217,974,136,0,1.3,30
LUXEMBOURG,2942,1075,1468,302,98,0,7.43,109
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,322,0,322,0,0,0,0.84,0
MACEDONIA,2820,2068,684,0,68,0,1.45,0
MADAGASCAR,281,10,263,0,8,0,0.02,11
MALAWI,243,49,177,0,17,0,0.02,5
MALAYSIA,25013,1470,14809,6012,1196,1526,1.27,54
MALDIVES,54,0,54,0,0,0,0.23,35
MALI,124,0,121,0,3,0,0.01,13
MALTA,723,185,538,0,0,0,1.9,68
MARSHALL ISLANDS,17,0,17,0,0,0,0.33,0
MARTINIQUE,432,0,402,0,30,0,1.18,127
MAURITANIA,268,4,249,0,15,0,0.12,19
MAURITIUS,484,46,439,0,0,0,0.44,92
MEXICO,92574,4968,68176,15029,3688,713,1.04,1926
MONGOLIA,2532,2073,448,0,11,0,1.11,0
MONTSERRAT,8,0,8,0,0,0,0.77,1
MOROCCO,7695,1452,5367,13,864,0,0.29,64
MOZAMBIQUE,294,43,248,0,3,0,0.02,32
MYANMAR (FORMERLY BURMA),1457,14,841,544,54,4,0.04,3
NAMIBIA,379,65,314,0,0,0,0.24,37
NAURU,31,0,31,0,0,0,3.19,10
NEPAL,400,77,286,0,37,0,0.02,0
NETHERLAND ANTILLES,1502,0,1502,0,0,0,7.83,1501
NETHERLANDS,44942,8289,14752,21405,419,78,2.95,12028
NEW CALEDONIA,501,114,375,0,12,0,2.76,24
NEW ZEALAND,7278,1416,3018,2713,109,21,2.04,594
NICARAGUA,628,0,593,0,35,0,0.14,0
NIGER,213,62,147,0,4,0,0.02,9
NIGERIA,12309,6,9009,2860,435,0,0.12,624
