Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,211,1,136,61,7,6,0.01,4
ALBANIA,824,19,776,6,24,0,0.27,34
ALGERIA,23960,537,8424,10838,1129,3032,0.78,416
ANDORRA,143,0,143,0,0,0,2.22,0
ANGOLA,2602,0,1001,296,27,1278,0.19,384
ANGUILLA,24,0,24,0,0,0,2.19,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,62
ANTIGUA & BARBUDA,94,0,94,0,0,0,1.21,41
ARGENTINA,38761,452,18237,18951,832,289,1.05,433
ARMENIA,945,0,215,700,30,0,0.31,52
ARUBA,649,0,649,0,0,0,7.19,63
AUSTRALIA,89840,51807,24812,12039,1020,163,4.69,2722
AUSTRIA,16985,3791,8568,4113,514,0,2.12,475
AZERBAIJAN,8047,0,4903,3117,27,0,0.99,100
BAHAMAS,455,1,454,0,0,0,1.53,205
BAHRAIN,5084,0,666,4406,12,0,7.97,303
BANGLADESH,7600,342,2164,4607,487,0,0.06,133
BARBADOS,324,0,268,20,36,0,1.21,172
BELARUS,14668,958,4554,8906,251,0,1.46,0
BELGIUM,31393,7932,14139,8350,972,0,3.09,5964
BELIZE,108,0,108,0,0,0,0.43,24
BENIN,436,0,402,0,34,0,0.07,18
BERMUDA,141,0,141,0,0,0,2.25,16
BHUTAN,108,48,40,0,20,0,0.19,1
BOSNIA & HERZEGOVINA,3760,2650,901,125,85,0,1.02,9
BOTSWANA,1031,560,471,0,0,0,0.59,6
BRAZIL,89442,13976,63825,4915,5332,1394,0.51,3093
BRITISH VIRGIN ISLANDS,28,0,28,0,0,0,1.39,0
BRUNEI (DARUSSALAM),1285,0,229,831,32,193,3.93,118
BULGARIA,11871,6864,2876,1831,300,0,1.48,121
BURKINA FASO,284,0,270,0,14,0,0.02,16
BURUNDI,74,2,73,0,0,0,0.01,6
CAMBODIA,539,0,539,0,0,0,0.04,12
CANADA,145727,33321,63048,46380,1715,1263,4.75,1760
CAPE VERDE,59,0,59,0,0,0,0.13,28
CAYMAN ISLANDS,127,0,127,0,0,0,3.17,7
CENTRAL AFRICAN REPUBLIC,73,0,73,0,0,0,0.02,14
CHAD,48,0,48,0,0,0,0.01,17
CHILE,16039,3887,8359,3253,459,81,1.04,822
CHINA (MAINLAND),928601,654047,177043,16320,81192,0,0.73,3571
COLOMBIA,15796,2791,8004,3408,1326,266,0.4,713
COMOROS,28,0,28,0,0,0,0.05,1
CONGO,286,0,152,65,3,66,0.09,0
COOK ISLANDS,13,0,13,0,0,0,0.7,3
COSTA RICA,1493,0,1350,0,143,0,0.38,0
COTE D IVOIRE,1852,0,1104,660,88,0,0.11,180
CROATIA,5274,439,3067,1380,388,0,1.17,70
CUBA,7113,23,6567,301,222,0,0.64,268
CYPRUS,1890,35,1664,0,190,0,2,395
CZECH REPUBLIC,33774,23581,4951,4684,557,0,3.3,134
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,18997,17515,856,0,626,0,0.83,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),222,0,199,0,23,0,0,79
DENMARK,13998,4147,6649,2779,273,150,2.62,1770
DJIBOUTI,93,0,93,0,0,0,0.13,135
DOMINICA,28,0,28,0,0,0,0.4,0
