Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,380,6,253,99,16,6,0.02,5
ALBANIA,686,218,386,54,27,0,0.21,0
ALGERIA,21854,649,7827,8715,870,3793,0.82,274
ANDORRA,111,0,111,0,0,0,1.91,0
ANGOLA,1417,0,625,291,41,460,0.13,221
ANGUILLA,15,0,15,0,0,0,1.68,0
ANTARCTIC FISHERIES,4,0,4,0,0,0,4.19,56
ANTIGUA & BARBUDA,72,0,72,0,0,0,1.13,32
ARGENTINA,33093,765,17367,13183,687,1091,0.99,415
ARMENIA,1589,102,484,949,54,0,0.46,128
ARUBA,399,0,399,0,0,0,5.85,50
AUSTRALIA,73080,41244,22021,8958,736,122,4.17,1823
AUSTRIA,15451,3477,7929,3361,684,0,1.99,301
AZERBAIJAN,15337,18,8522,6168,109,520,2.06,378
BAHAMAS,489,1,487,0,0,0,1.84,189
BAHRAIN,2973,0,230,2712,30,0,5.72,103
BANGLADESH,4840,88,2093,2622,37,0,0.04,0
BARBADOS,267,0,232,11,24,0,1.02,76
BELARUS,23839,2149,12122,9256,313,0,2.31,0
BELGIUM,30534,9171,14613,5652,1098,0,3.05,4421
BELIZE,97,0,97,0,0,0,0.48,13
BENIN,245,0,195,0,50,0,0.05,16
BERMUDA,126,0,126,0,0,0,2.09,13
BHUTAN,59,22,21,0,16,0,0.11,1
BOSNIA & HERZEGOVINA,4105,3435,435,215,20,0,1.04,14
BOTSWANA,758,531,228,0,0,0,0.52,7
BRAZIL,60187,10756,43516,2128,3251,535,0.39,1099
BRITISH VIRGIN ISLANDS,19,0,19,0,0,0,1.11,0
BRUNEI (DARUSSALAM),1422,0,344,765,0,312,5.33,85
BULGARIA,14782,8252,3955,2285,290,0,1.71,235
BURKINA FASO,172,0,172,0,0,0,0.02,9
BURUNDI,59,5,54,0,0,0,0.01,4
CAMBODIA,368,0,368,0,0,0,0.04,9
CANADA,120256,27731,53930,36465,775,1356,4.24,1564
CAPE VERDE,29,0,29,0,0,0,0.08,17
CAYMAN ISLANDS,85,0,85,0,0,0,2.95,5
CENTRAL AFRICAN REPUBLIC,59,0,59,0,0,0,0.02,10
CHAD,23,0,23,0,0,0,0,14
CHILE,8856,2035,5682,713,360,66,0.65,331
CHINA (MAINLAND),733694,577161,106362,8253,41918,0,0.62,1539
COLOMBIA,16921,3730,9730,2283,926,252,0.49,122
COMOROS,18,0,18,0,0,0,0.04,1
CONGO,349,0,259,28,16,46,0.14,7
COOK ISLANDS,10,0,10,0,0,0,0.56,4
COSTA RICA,1034,0,939,0,95,0,0.32,0
COTE D IVOIRE,1118,0,1049,0,69,0,0.08,96
CROATIA,4477,451,2470,1316,240,0,0.98,20
CUBA,8534,47,8204,11,272,0,0.8,174
CYPRUS,1413,19,1240,0,154,0,1.76,262
CZECH REPUBLIC,37681,27799,5443,3622,816,0,3.65,148
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,28527,24845,1370,0,2312,0,1.37,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),768,0,744,0,24,0,0.02,115
DENMARK,14814,7006,6040,1351,282,134,2.86,1253
DJIBOUTI,85,0,85,0,0,0,0.14,121
DOMINICA,16,0,16,0,0,0,0.22,0
DOMINICAN REPUBLIC,2979,101,2693,0,186,0,0.4,0
ECUADOR,6076,0,5277,127,306,366,0.57,198
EGYPT,22161,707,14743,4399,2312,0,0.38,1154
EL SALVADOR,905,0,848,0,57,0,0.16,36
EQUATORIAL GUINEA,43,0,43,0,0,0,0.11,2
ESTONIA,6512,4968,1014,448,82,0,4.26,117
ETHIOPIA,809,0,768,0,41,0,0.02,59
FAEROE ISLANDS,177,0,177,0,0,0,3.85,15
FALKLAND ISLANDS (MALVINAS),11,4,8,0,0,0,5.23,0
FEDERATED STATES OF MICRONESIA,27,0,27,0,0,0,0.26,1
FIJI,204,14,178,0,11,0,0.27,78
FINLAND,12946,5154,6144,1494,154,0,2.57,822
FRANCE (INCLUDING MONACO),99780,19002,60124,17775,2878,0,1.74,4944
FRENCH GUIANA,192,0,192,0,0,0,1.52,17
FRENCH POLYNESIA,113,0,113,0,0,0,0.56,45
GABON,1345,0,283,54,16,992,1.36,233
GAMBIA,49,0,49,0,0,0,0.05,5
GEORGIA,4182,264,1377,2472,68,0,0.78,12
GERMANY,243244,110594,91818,35521,5104,207,3.03,5364
GHANA,1086,2,944,0,139,0,0.07,54
GIBRALTAR,64,0,64,0,0,0,2.38,1504
GREECE,20589,8751,10307,79,1451,1,1.99,2949
GREENLAND,131,0,131,0,0,0,2.36,0
GRENADA,32,0,32,0,0,0,0.33,4
GUADELOUPE,366,0,334,0,32,0,0.93,68
GUATEMALA,1641,0,1446,5,190,0,0.18,0
GUINEA,289,0,289,0,0,0,0.04,13
GUINEA BISSAU,49,0,49,0,0,0,0.05,7
GUYANA,285,0,285,0,0,0,0.39,10
HAITI,248,19,202,0,27,0,0.03,17
HONDURAS,839,0,751,0,88,0,0.16,0
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,9025,5653,3150,0,223,0,1.53,3174
HUNGARY,16470,5603,5711,4853,304,0,1.59,114
ICELAND,496,48,435,0,14,0,1.91,71
INDIA,190643,124106,51325,7439,6800,973,0.21,735
INDONESIA,55243,3414,31961,14294,2350,3223,0.29,404
IRAQ,16120,0,14628,1189,272,31,0.88,269
IRELAND,8463,3471,3588,1186,218,0,2.38,267
ISLAMIC REPUBLIC OF IRAN,62304,924,39013,14369,2067,5932,1.09,982
ISRAEL,11669,3649,7468,13,539,0,2.43,587
ITALY (INCLUDING SAN MARINO),114681,12614,70766,25678,5623,0,2.01,3592
JAMAICA,2104,48,1991,0,65,0,0.88,145
JAPAN,306476,79662,185098,29713,12002,0,2.49,8840
JORDAN,3345,0,2853,67,426,0,0.88,168
KAZAKHSTAN,71460,42543,18743,9304,870,0,4.35,840
KENYA,1511,115,1191,0,205,0,0.06,120
KIRIBATI,7,0,7,0,0,0,0.09,1
KUWAIT,5750,0,3383,2033,72,262,2.99,298
KYRGYZSTAN,3059,1041,1028,839,150,0,0.68,51
LAO PEOPLE S DEMOCRATIC REPUBLIC,70,1,68,0,1,0,0.02,6
LATVIA,3857,564,2161,1078,54,0,1.48,36
LEBANON,2825,0,2621,0,204,0,0.9,86
LESOTHO,433,340,93,0,0,0,0.25,0
LIBERIA,77,0,76,0,1,0,0.04,14
LIBYAN ARAB JAMAHIRIYAH,10161,4,6258,2515,313,1071,2.25,251
LITHUANIA,6040,498,3772,1567,204,0,1.64,0
LUXEMBOURG,2883,1044,1466,291,82,0,7.38,110
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,295,0,295,0,0,0,0.78,0
MACEDONIA,2939,1965,903,0,70,0,1.52,0
MADAGASCAR,274,9,257,0,8,0,0.02,12
MALAWI,217,46,156,0,15,0,0.02,5
MALAYSIA,20534,1726,12436,4368,1138,867,1.07,65
MALDIVES,63,0,63,0,0,0,0.27,36
MALI,121,0,118,0,3,0,0.01,13
MALTA,552,127,425,0,0,0,1.47,86
MARSHALL ISLANDS,15,0,15,0,0,0,0.31,0
MARTINIQUE,435,0,402,0,33,0,1.2,126
MAURITANIA,264,4,243,0,17,0,0.13,19
MAURITIUS,466,52,414,0,0,0,0.43,100
MEXICO,91273,4041,67882,15178,3656,516,1.04,1634
MONGOLIA,3005,2510,477,0,18,0,1.33,0
MONTSERRAT,8,0,8,0,0,0,0.77,1
MOROCCO,7101,1266,4961,13,862,0,0.28,98
MOZAMBIQUE,274,43,227,0,4,0,0.02,52
MYANMAR (FORMERLY BURMA),1333,33,793,441,63,3,0.03,25
NAMIBIA,314,9,306,0,0,0,0.21,30
NAURU,33,0,33,0,0,0,3.42,10
NEPAL,363,82,250,0,32,0,0.02,0
NETHERLAND ANTILLES,973,0,973,0,0,0,5.07,1513
NETHERLANDS,44239,8084,14802,20849,449,56,2.93,11488
NEW CALEDONIA,432,88,332,0,12,0,2.43,22
NEW ZEALAND,6840,1005,2940,2790,79,25,1.95,574
NICARAGUA,653,0,615,0,38,0,0.15,0
NIGER,191,53,134,0,4,0,0.02,9
