Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,362,29,235,90,8,0,0.01,9
ALBANIA,1160,20,1068,6,67,0,0.37,49
ALGERIA,29255,645,8475,16706,1741,1688,0.89,547
ANDORRA,157,0,157,0,0,0,2.02,0
ANGOLA,5224,0,1292,341,179,3412,0.32,246
ANGUILLA,35,0,35,0,0,0,2.59,0
ANTARCTIC FISHERIES,2,0,2,0,0,0,1.67,63
ANTIGUA & BARBUDA,117,0,117,0,0,0,1.4,44
ARGENTINA,44208,892,19596,22371,1033,316,1.14,1058
ARMENIA,1187,1,268,836,82,0,0.39,38
ARUBA,742,0,742,0,0,0,7.34,72
AUSTRALIA,95493,55286,27111,11850,1153,93,4.68,2915
AUSTRIA,20239,4230,10293,5096,620,0,2.46,548
AZERBAIJAN,9364,0,3995,5058,209,102,1.09,331
BAHAMAS,475,2,473,0,0,0,1.49,177
BAHRAIN,5238,0,1283,3901,54,0,7.23,467
BANGLADESH,10766,438,2887,6748,694,0,0.08,268
BARBADOS,369,0,309,14,46,0,1.36,146
BELARUS,16135,620,4508,10582,426,0,1.64,0
BELGIUM,29591,5088,14272,9199,1033,0,2.84,7866
BELIZE,115,0,115,0,0,0,0.41,19
BENIN,653,0,619,0,34,0,0.09,9
BERMUDA,159,0,159,0,0,0,2.48,27
BHUTAN,108,27,58,0,23,0,0.16,1
BOSNIA & HERZEGOVINA,4419,3234,856,189,140,0,1.17,4
BOTSWANA,1117,584,533,0,0,0,0.6,9
BRAZIL,94712,14403,63294,10439,5264,1312,0.51,3915
BRITISH VIRGIN ISLANDS,36,0,36,0,0,0,1.64,0
BRUNEI (DARUSSALAM),1365,0,289,896,36,144,3.76,141
BULGARIA,13067,7298,3526,1751,492,0,1.69,251
BURKINA FASO,307,0,303,0,4,0,0.02,17
BURUNDI,42,2,40,0,0,0,0.01,6
CAMBODIA,757,0,757,0,0,0,0.06,15
CANADA,152009,30486,68252,50353,1928,990,4.71,1459
CAPE VERDE,120,0,120,0,0,0,0.25,63
CAYMAN ISLANDS,129,0,129,0,0,0,2.47,9
CENTRAL AFRICAN REPUBLIC,64,0,64,0,0,0,0.02,22
CHAD,109,0,109,0,0,0,0.01,16
CHILE,16858,2798,9232,4246,544,38,1.03,1200
CHINA (MAINLAND),1608115,1207530,232034,23187,145364,0,1.23,7102
COLOMBIA,16620,2793,8444,3823,1354,206,0.39,796
COMOROS,38,0,38,0,0,0,0.06,2
CONGO,268,0,242,12,14,0,0.08,38
COOK ISLANDS,17,0,17,0,0,0,0.86,2
COSTA RICA,1873,35,1566,0,272,0,0.43,0
COTE D IVOIRE,2134,0,1136,910,88,0,0.12,141
CROATIA,6161,717,3490,1480,473,0,1.39,91
CUBA,7092,21,6469,389,213,0,0.63,165
CYPRUS,2046,38,1763,0,245,0,1.98,499
CZECH REPUBLIC,32754,21549,5853,4811,541,0,3.2,263
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,20609,19050,785,0,775,0,0.87,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),409,0,338,0,71,0,0.01,136
DENMARK,12843,3872,5826,2748,288,109,2.37,1384
DJIBOUTI,113,0,113,0,0,0,0.14,103
DOMINICA,32,0,32,0,0,0,0.46,1
DOMINICAN REPUBLIC,5083,345,4231,129,378,0,0.55,363
ECUADOR,8253,0,7097,244,502,409,0.61,353
EGYPT,45598,837,21619,18729,4414,0,0.61,1854
EL SALVADOR,1760,1,1605,0,154,0,0.29,65
EQUATORIAL GUINEA,1285,0,142,605,0,538,2.11,28
ERITREA,209,0,203,0,6,0,0.05,8
ESTONIA,4569,3435,536,499,99,0,3.39,144
ETHIOPIA,1396,0,1183,0,213,0,0.02,106
FAEROE ISLANDS,197,0,197,0,0,0,4.08,10
FALKLAND ISLANDS (MALVINAS),14,3,11,0,0,0,4.76,0
FEDERATED STATES OF MICRONESIA,33,0,33,0,0,0,0.3,1
FIJI,299,0,280,0,19,0,0.36,181
FINLAND,14902,5176,7294,2247,185,0,2.84,791
FRANCE (INCLUDING MONACO),105091,14405,62169,25624,2894,0,1.72,6805
FRENCH GUIANA,151,0,143,0,8,0,0.75,28
FRENCH POLYNESIA,224,0,224,0,0,0,0.88,51
GABON,1333,0,382,76,35,840,0.97,225
GAMBIA,80,0,80,1,0,0,0.05,8
GEORGIA,1382,49,509,762,61,1,0.31,33
GERMANY,217393,86165,78421,48581,4217,9,2.63,8519
GHANA,1907,0,1662,0,245,0,0.09,138
GIBRALTAR,109,0,109,0,0,0,3.74,3498
GREECE,26909,9626,13750,1470,2063,0,2.41,3169
GREENLAND,166,0,166,0,0,0,2.9,56
GRENADA,59,0,59,0,0,0,0.58,5
GUADELOUPE,606,107,466,0,33,0,1.36,97
GUATEMALA,3428,426,2675,0,326,0,0.27,165
GUINEA,498,0,498,0,0,0,0.06,19
GUINEA BISSAU,58,0,58,0,0,0,0.04,9
GUYANA,392,0,392,0,0,0,0.53,9
HAITI,566,0,525,0,41,0,0.06,20
HONDURAS,2060,133,1740,0,188,0,0.3,19
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,11964,6950,3726,1151,137,0,1.76,8018
HUNGARY,15822,3272,4528,7554,458,11,1.57,223
ICELAND,608,103,487,0,18,0,2.05,166
INDIA,333396,217636,81814,13766,19720,460,0.29,2822
INDONESIA,93262,24173,47695,14861,4613,1920,0.41,921
IRAQ,30958,0,23828,3395,408,3327,1.13,0
IRELAND,11873,2913,6102,2167,691,0,2.86,750
ISLAMIC REPUBLIC OF IRAN,127845,1661,60814,54629,4440,6300,1.83,749
ISRAEL,15531,7594,6425,820,693,0,2.35,1090
ITALY (INCLUDING SAN MARINO),129093,17053,62434,44127,5479,0,2.2,4491
JAMAICA,2863,42,2706,0,115,0,1.07,229
JAPAN,337948,113961,170431,44086,9470,0,2.67,11001
JORDAN,5743,0,4329,864,550,0,1.08,197
KAZAKHSTAN,48358,29266,7668,10883,541,0,3.19,197
KENYA,2335,91,1956,0,289,0,0.07,498
KIRIBATI,17,0,17,0,0,0,0.18,3
KUWAIT,19511,0,12251,6967,292,1,8.62,1088
KYRGYZSTAN,1525,633,374,386,132,0,0.3,107
LAO PEOPLE S DEMOCRATIC REPUBLIC,383,246,103,0,34,0,0.07,8
LATVIA,2047,85,1077,848,38,0,0.89,274
LEBANON,4420,137,3657,0,626,0,1.09,142
LESOTHO,549,436,113,0,0,0,0.27,0
LIBERIA,198,0,178,0,20,0,0.06,14
LIBYAN ARAB JAMAHIRIYAH,14210,0,9349,3013,492,1357,2.46,235
LITHUANIA,3791,209,1922,1547,113,0,1.11,164
LUXEMBOURG,3149,91,2220,735,103,0,6.89,359
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,499,0,499,0,0,0,1.04,0
MACEDONIA,3076,2184,732,39,121,0,1.51,5
MADAGASCAR,475,12,443,0,20,0,0.03,55
MALAWI,239,43,173,0,23,0,0.02,6
MALAYSIA,47583,7126,16641,17489,2429,3898,1.82,1669
MALDIVES,164,0,164,0,0,0,0.56,27
MALI,245,0,245,0,0,0,0.02,16
MALTA,736,0,736,0,0,0,1.8,653
MARSHALL ISLANDS,23,0,23,0,0,0,0.45,0
MARTINIQUE,601,0,571,0,30,0,1.51,132
MAURITANIA,433,0,392,0,41,0,0.14,21
MAURITIUS,899,232,666,0,0,0,0.72,245
MEXICO,127178,12775,79455,28798,5093,1057,1.19,3048
MONGOLIA,2335,1859,460,0,15,0,0.92,0
MONTSERRAT,10,0,10,0,0,0,1.79,1
MOROCCO,12482,3844,6906,237,1496,0,0.41,326
MOZAMBIQUE,497,0,392,38,67,0,0.02,40
MYANMAR (FORMERLY BURMA),3163,160,1437,1489,74,3,0.07,9
NAMIBIA,630,14,615,0,0,0,0.3,9
NAURU,17,0,17,0,0,0,1.66,5
NEPAL,841,256,546,0,39,0,0.03,50
NETHERLAND ANTILLES,1564,0,1564,0,0,0,8.41,1566
NETHERLANDS,49490,7642,19428,22063,339,18,3.04,16569
NEW CALEDONIA,770,182,572,0,16,0,3.33,17
NEW ZEALAND,9310,2323,4810,2016,150,11,2.25,860
NICARAGUA,1178,0,1106,0,72,0,0.22,15
NIGER,195,70,117,0,8,0,0.02,11
NIGERIA,28925,6,10847,5631,367,12075,0.21,541
NIUE,1,0,1,0,0,0,0.5,0
NORWAY,11573,804,7741,2543,219,265,2.5,890
OCCUPIED PALESTINIAN TERRITORY,748,0,748,0,0,0,0.21,0
OMAN,8152,0,1875,5156,365,756,3.36,369
PAKISTAN,37261,4419,13200,17330,2312,0,0.23,245
PALAU,71,0,71,0,0,0,3.58,13
