Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,1846,419,1349,74,4,0,0.07,9
ALBANIA,1194,106,932,5,151,0,0.41,7
ALGERIA,33106,435,12252,14982,2548,2889,0.94,636
ANDORRA,141,0,141,0,0,0,1.65,0
ANGOLA,7579,0,3356,352,245,3626,0.37,323
ANGUILLA,40,0,40,0,0,0,2.96,0
ANTIGUA & BARBUDA,139,0,139,0,0,0,1.61,47
ARGENTINA,49076,882,22484,24016,1276,418,1.2,1294
ARMENIA,1189,0,260,865,64,0,0.4,25
ARUBA,717,0,717,0,0,0,7.07,77
AUSTRALIA,107661,58677,29305,18318,1251,110,4.95,2989
AUSTRIA,17107,2974,8897,4603,632,0,2.05,530
AZERBAIJAN,8700,4,2522,5128,175,871,0.97,319
BAHAMAS,448,1,446,0,0,0,1.26,133
BAHRAIN,7695,0,1002,6598,95,0,6.43,581
BANGLADESH,14654,823,2526,9673,1632,0,0.1,281
BARBADOS,441,0,397,9,35,1,1.58,115
BELARUS,16695,565,6361,9177,592,0,1.76,0
BELGIUM,27233,3086,13894,9438,815,0,2.51,7305
BELIZE,160,0,160,0,0,0,0.51,13
BENIN,1271,0,1092,0,179,0,0.14,74
BERMUDA,130,0,130,0,0,0,2.02,53
BHUTAN,106,16,66,0,24,0,0.15,1
BOSNIA & HERZEGOVINA,5646,4181,1200,119,146,0,1.47,4
BOTSWANA,1026,430,595,0,0,0,0.51,13
BRAZIL,100122,12134,68488,10678,7038,1784,0.51,4615
BRITISH VIRGIN ISLANDS,45,0,45,0,0,0,1.71,0
BRUNEI (DARUSSALAM),2144,0,479,1528,30,108,5.54,144
BULGARIA,11635,6766,3160,1350,360,0,1.56,304
BURKINA FASO,527,0,450,0,77,0,0.03,13
BURUNDI,52,4,48,0,0,0,0.01,5
CAMBODIA,1269,8,1134,0,127,0,0.09,24
CANADA,146377,24889,70310,48850,1494,834,4.34,1195
CAPE VERDE,143,0,143,0,0,0,0.29,65
CAYMAN ISLANDS,152,0,152,0,0,0,2.79,9
CENTRAL AFRICAN REPUBLIC,69,0,69,0,0,0,0.02,26
CHAD,134,0,134,0,0,0,0.01,15
CHILE,18218,3666,12263,1741,527,22,1.08,1077
CHINA (MAINLAND),2181895,1645333,268108,44870,223584,0,1.64,9650
