Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,3338,1174,2075,84,5,0,0.12,9
ALBANIA,1429,146,1030,8,245,0,0.5,7
ALGERIA,33048,286,12806,15481,2584,1892,0.9,609
ANDORRA,134,0,134,0,0,0,1.63,0
ANGOLA,8274,0,3915,384,204,3771,0.38,314
ANGUILLA,39,0,39,0,0,0,2.76,0
ANTIGUA & BARBUDA,140,0,140,0,0,0,1.59,41
ARGENTINA,52259,1289,23723,25269,1577,401,1.25,1772
ARMENIA,1341,2,257,1025,57,0,0.45,38
ARUBA,682,0,682,0,0,0,6.69,75
AUSTRALIA,106850,54287,32565,18687,1170,142,4.74,3177
AUSTRIA,17731,3599,8742,4788,602,0,2.1,605
AZERBAIJAN,9121,5,2855,5192,194,874,0.99,430
BAHAMAS,509,1,507,0,0,0,1.39,161
BAHRAIN,7813,0,1008,6628,177,0,5.98,507
BANGLADESH,17293,774,3706,10815,1998,0,0.11,359
BARBADOS,417,0,378,9,30,1,1.49,121
BELARUS,17470,632,5479,10733,626,0,1.84,0
BELGIUM,27255,3522,13799,8988,946,0,2.48,7243
BELIZE,164,0,161,3,0,0,0.5,9
BENIN,1444,0,1245,0,199,0,0.15,131
BERMUDA,121,0,121,0,0,0,1.9,18
BHUTAN,200,26,100,0,74,0,0.27,1
BOSNIA & HERZEGOVINA,6514,5045,1206,142,121,0,1.7,4
BOTSWANA,1139,390,707,0,41,0,0.54,15
BRAZIL,119829,17498,78849,13778,8717,987,0.6,5516
BRITISH VIRGIN ISLANDS,48,0,48,0,0,0,1.71,0
BRUNEI (DARUSSALAM),2644,0,534,1989,39,82,6.62,175
BULGARIA,13457,8738,2822,1643,254,0,1.83,206
BURKINA FASO,603,0,523,0,80,0,0.04,35
BURUNDI,66,3,58,0,5,0,0.01,3
CAMBODIA,1420,10,1288,0,123,0,0.1,38
CANADA,146472,21966,69866,52135,1632,873,4.25,1223
CAPE VERDE,168,0,168,0,0,0,0.34,94
CAYMAN ISLANDS,160,0,160,0,0,0,2.83,9
CENTRAL AFRICAN REPUBLIC,76,0,76,0,0,0,0.02,27
CHAD,147,0,147,0,0,0,0.01,15
CHILE,21610,5690,12453,2852,599,16,1.26,790
CHINA (MAINLAND),2654360,1995029,306730,67137,285464,0,1.97,12636
COLOMBIA,20870,3762,9537,5745,1466,359,0.45,1241
COMOROS,37,0,37,0,0,0,0.05,3
CONGO,616,0,529,77,10,0,0.15,42
COOK ISLANDS,19,0,19,0,0,0,0.94,2
COSTA RICA,2111,62,1859,0,190,0,0.46,0
COTE D IVOIRE,1977,0,915,817,245,0,0.1,56
CROATIA,5402,730,2730,1605,336,0,1.26,105
CUBA,9814,3,9040,534,236,0,0.87,140
CYPRUS,2025,9,1852,0,164,0,1.81,422
CZECH REPUBLIC,29154,19062,5304,4253,535,0,2.77,257
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,13099,11521,721,0,857,0,0.53,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),680,0,606,12,62,0,0.01,124
DENMARK,11084,3348,5121,2322,246,48,1.99,1299
DJIBOUTI,129,0,129,0,0,0,0.15,85
DOMINICA,35,0,35,0,0,0,0.49,2
DOMINICAN REPUBLIC,5789,573,4232,440,544,0,0.58,364
ECUADOR,10529,0,9046,365,776,343,0.69,707
EGYPT,59221,464,27562,25295,5900,0,0.71,990
EL SALVADOR,1813,0,1633,0,180,0,0.3,94
EQUATORIAL GUINEA,1671,0,166,880,0,625,2.23,30
ERITREA,162,0,136,0,26,0,0.03,1
ESTONIA,5074,4349,350,314,61,0,3.82,194
ETHIOPIA,2107,123,1701,0,283,0,0.02,233
FAEROE ISLANDS,155,0,155,0,0,0,3.19,29
FALKLAND ISLANDS (MALVINAS),15,3,12,0,0,0,5.22,0
FEDERATED STATES OF MICRONESIA,33,0,33,0,0,0,0.32,1
FIJI,297,0,274,0,23,0,0.34,44
FINLAND,15494,6325,6881,2099,189,0,2.87,701
FRANCE (INCLUDING MONACO),90484,10543,54185,23136,2621,0,1.43,7029
FRENCH GUIANA,175,0,163,0,12,0,0.73,33
FRENCH POLYNESIA,227,0,227,0,0,0,0.84,47
GABON,1356,0,604,188,31,532,0.86,224
GAMBIA,122,0,121,1,0,0,0.07,18
GEORGIA,2174,289,739,942,204,0,0.52,30
GERMANY,199754,82252,69465,43468,4561,8,2.48,8789
GHANA,2681,0,1909,432,340,0,0.11,178
GIBRALTAR,123,0,123,0,0,0,3.96,3653
GREECE,21773,8491,10046,2481,755,0,1.95,3061
GREENLAND,193,0,193,0,0,0,3.43,40
