Country,Total
Australia,549330
Austria,81863
Belarus,88542
Belgium,117424
Bulgaria,61148
Canada,716092
Croatia,24738
Cyprus,8970
Czechia,130460
Denmark,49649
Estonia,21066
Finland,55230
France,470564
Germany,892076
Greece,95601
Hungary,64716
Iceland,4795
Ireland,62115
Italy,432714
Japan,1288529
Kazakhstan,364180
Latvia,10757
Liechtenstein,193
Lithuania,20519
Luxemburg,10267
Malta,2061
Monaco,86
Netherlands,190567
New Zealand,80282
Norway,52089
Poland,414819
Portugal,70791
Romania,114246
Russia,2071543
Slovakia,42227
Slovenia,17697
Spain,338738
Sweden,53011
Switzerland,47869
Turkey,498887
Ukraine,323045
United Kingdom,453345
United States of America,6483291
