Country,Total
Australia,437277
Austria,79238
Belarus,83443
Belgium,153617
Bulgaria,72909
Canada,656299
Croatia,22487
Cyprus,6986
Czechia,156330
Denmark,78838
Estonia,20274
Finland,71663
France,540263
Germany,1120555
Greece,109311
Hungary,77193
Iceland,3513
Ireland,58741
Italy,532004
Japan,1373758
Kazakhstan,244276
Latvia,12448
Liechtenstein,234
Lithuania,22202
Luxemburg,10084
Malta,2686
Monaco,106
Netherlands,229639
New Zealand,68913
Norway,51624
Poland,447309
Portugal,68588
Romania,183856
Russia,2068334
Slovakia,52889
Slovenia,18691
Spain,329351
Sweden,73185
Switzerland,52684
Turkey,234496
Ukraine,561926
United Kingdom,748483
United States of America,6775860
