Country,Total
Australia,593314
Austria,77642
Belarus,82770
Belgium,97889
Bulgaria,40886
Canada,743321
Croatia,22775
Cyprus,7741
Czechia,126709
Denmark,47002
Estonia,19198
Finland,57221
France,418872
Germany,811782
Greece,85662
Hungary,60922
Iceland,4378
Ireland,60096
Italy,376122
Japan,998433
Kazakhstan,306533
Latvia,9759
Liechtenstein,171
Lithuania,12250
Luxemburg,9437
Malta,1988
Monaco,78
Netherlands,154491
New Zealand,81249
Norway,50239
Poland,446778
Portugal,64887
Romania,99841
Russia,2000933
Slovakia,39082
Slovenia,15544
Spain,310081
Sweden,47891
Switzerland,39256
Turkey,498787
Ukraine,229001
United Kingdom,376890
United States of America,6341181
