Country,Total
Australia,537206
Austria,82127
Belarus,90342
Belgium,123134
Bulgaria,65071
Canada,714079
Croatia,27430
Cyprus,9150
Czechia,138069
Denmark,59430
Estonia,21286
Finland,67877
France,488902
Germany,917274
Greece,115572
Hungary,64354
Iceland,4647
Ireland,57794
Italy,503645
Japan,1351252
Kazakhstan,293269
Latvia,11030
Liechtenstein,215
Lithuania,21339
Luxemburg,12053
Malta,2972
Monaco,86
Netherlands,197327
New Zealand,78149
Norway,54510
Poland,412489
Portugal,67319
Romania,123862
Russia,2070534
Slovakia,44555
Slovenia,19540
Spain,357588
Sweden,60231
Switzerland,50606
Turkey,399143
Ukraine,428395
United Kingdom,563659
United States of America,6827402
