Country,Total
Australia,535549
Austria,84337
Belarus,90695
Belgium,133634
Bulgaria,59796
Canada,702803
Croatia,27753
Cyprus,9444
Czechia,139606
Denmark,64664
Estonia,21218
Finland,75622
France,513462
Germany,941805
Greece,118500
Hungary,66057
Iceland,4866
Ireland,61949
Italy,516474
Japan,1300452
Kazakhstan,303286
Latvia,11820
Liechtenstein,228
Lithuania,20742
Luxemburg,12176
Malta,2968
Monaco,88
Netherlands,211675
New Zealand,78316
Norway,55266
Poland,413502
Portugal,68727
Romania,116144
Russia,2013432
Slovakia,45364
Slovenia,19614
Spain,357876
Sweden,64557
Switzerland,54721
Turkey,395844
Ukraine,407124
United Kingdom,608732
United States of America,6991106
