Country,Total
Australia,476392
Austria,79898
Belarus,80058
Belgium,147789
Bulgaria,58817
Canada,709601
Croatia,25824
Cyprus,8035
Czechia,139030
Denmark,76049
Estonia,17850
Finland,72039
France,558542
Germany,1044927
Greece,123113
Hungary,77820
Iceland,4105
Ireland,66203
Italy,551760
Japan,1353960
Kazakhstan,189022
Latvia,10674
Liechtenstein,256
Lithuania,20968
Luxemburg,9080
Malta,2878
Monaco,108
Netherlands,219337
New Zealand,73366
Norway,55737
Poland,409183
Portugal,82400
Romania,145552
Russia,1897297
Slovakia,50561
Slovenia,18806
Spain,372592
Sweden,69505
Switzerland,53635
Turkey,280419
Ukraine,449425
United Kingdom,712883
United States of America,7125399
