Country,Total
Australia,582290
Austria,79651
Belarus,83445
Belgium,98976
Bulgaria,42119
Canada,751661
Croatia,20998
Cyprus,7452
Czechia,125666
Denmark,46552
Estonia,20114
Finland,58582
France,399731
Germany,824990
Greece,89752
Hungary,60965
Iceland,4472
Ireland,61664
Italy,381640
Japan,1003432
Kazakhstan,317009
Latvia,9742
Liechtenstein,175
Lithuania,11992
Luxemburg,9644
Malta,1976
Monaco,81
Netherlands,162452
New Zealand,81355
Norway,51000
Poland,447790
Portugal,62100
Romania,100554
Russia,2008832
Slovakia,39349
Slovenia,15598
Spain,324459
Sweden,48991
Switzerland,40021
Turkey,492251
Ukraine,243338
United Kingdom,391102
United States of America,6548911
