Country,Total
Australia,601102
Austria,74338
Belarus,80228
Belgium,97001
Bulgaria,39982
Canada,730992
Croatia,22199
Cyprus,6879
Czechia,121314
Denmark,49989
Estonia,19665
Finland,53224
France,407762
Germany,800921
Greece,87762
Hungary,60011
Iceland,4560
Ireland,61022
Italy,366803
Japan,989579
Kazakhstan,298945
Latvia,9325
Liechtenstein,172
Lithuania,11560
Luxemburg,9322
Malta,1992
Monaco,74
Netherlands,165990
New Zealand,82300
Norway,50522
Poland,450128
Portugal,63599
Romania,94331
Russia,1999742
Slovakia,38997
Slovenia,16051
Spain,300192
Sweden,47776
Switzerland,39941
Turkey,490012
Ukraine,198909
United Kingdom,355600
United States of America,6278129
