Country,Total
Australia,559911
Austria,79664
Belarus,88664
Belgium,110876
Bulgaria,54339
Canada,728087
Croatia,23990
Cyprus,8002
Czechia,130998
Denmark,48774
Estonia,19667
Finland,60552
France,456682
Germany,855435
Greece,89662
Hungary,61982
Iceland,4627
Ireland,63779
Italy,411820
Japan,1145998
Kazakhstan,344897
Latvia,10475
Liechtenstein,187
Lithuania,16754
Luxemburg,10112
Malta,2033
Monaco,85
Netherlands,181215
New Zealand,81427
Norway,52381
Poland,422904
Portugal,65331
Romania,111998
Russia,2110087
Slovakia,40087
Slovenia,17985
Spain,339800
Sweden,52778
Switzerland,44599
Turkey,512904
Ukraine,300298
United Kingdom,442567
United States of America,6943009
