Country,Total
Australia,604432
Austria,73445
Belarus,81224
Belgium,95112
Bulgaria,35592
Canada,731566
Croatia,21775
Cyprus,6755
Czechia,128664
Denmark,45660
Estonia,17554
Finland,54886
France,381156
Germany,775562
Greece,77877
Hungary,58225
Iceland,4521
Ireland,59066
Italy,368954
Japan,982113
Kazakhstan,257098
Latvia,8805
Liechtenstein,161
Lithuania,9652
Luxemburg,9051
Malta,1986
Monaco,71
Netherlands,160022
New Zealand,83922
Norway,48302
Poland,453343
Portugal,58867
Romania,92054
Russia,1902457
Slovakia,36922
Slovenia,13952
Spain,280988
Sweden,42118
Switzerland,33490
Turkey,482259
Ukraine,165585
United Kingdom,284501
United States of America,5670011
