Country,Total
Australia,517727
Austria,90985
Belarus,84704
Belgium,148555
Bulgaria,62110
Canada,745920
Croatia,29264
Cyprus,9079
Czechia,149763
Denmark,71988
Estonia,19482
Finland,81850
France,554920
Germany,1017526
Greece,131961
Hungary,76961
Iceland,4175
Ireland,68385
Italy,587933
Japan,1370202
Kazakhstan,263901
Latvia,10760
Liechtenstein,263
Lithuania,21594
Luxemburg,12765
Malta,3161
Monaco,100
Netherlands,218288
New Zealand,80549
Norway,56151
Poland,404901
Portugal,83560
Romania,147820
Russia,1947980
Slovakia,50409
Slovenia,20175
Spain,427387
Sweden,69488
Switzerland,54688
Turkey,305290
Ukraine,442916
United Kingdom,697609
United States of America,7415471
