Country,Total
Australia,617755
Austria,76554
Belarus,78554
Belgium,95440
Bulgaria,38772
Canada,748209
Croatia,20775
Cyprus,7028
Czechia,130331
Denmark,46881
Estonia,18776
Finland,51880
France,367789
Germany,802367
Greece,74662
Hungary,59771
Iceland,4499
Ireland,59887
Italy,356111
Japan,981445
Kazakhstan,287224
Latvia,9127
Liechtenstein,172
Lithuania,11212
Luxemburg,9273
Malta,1992
Monaco,74
Netherlands,165312
New Zealand,83491
Norway,48297
Poland,443531
Portugal,61081
Romania,93005
Russia,1987620
Slovakia,37541
Slovenia,14984
Spain,308761
Sweden,45690
Switzerland,36799
Turkey,509123
Ukraine,183219
United Kingdom,311891
United States of America,5998924
