Country,Total
Australia,578812
Austria,78554
Belarus,81990
Belgium,102744
Bulgaria,43550
Canada,754400
Croatia,21551
Cyprus,8077
Czechia,130998
Denmark,47662
Estonia,16558
Finland,61552
France,457782
Germany,835501
Greece,89112
Hungary,62770
Iceland,4525
Ireland,62442
Italy,397226
Japan,1114880
Kazakhstan,317883
Latvia,10944
Liechtenstein,181
Lithuania,15721
Luxemburg,10022
Malta,1992
Monaco,81
Netherlands,173136
New Zealand,81987
Norway,51922
Poland,427821
Portugal,62311
Romania,101022
Russia,2088543
Slovakia,40873
Slovenia,16758
Spain,320871
Sweden,50081
Switzerland,42289
Turkey,506689
Ukraine,287100
United Kingdom,414560
United States of America,6512388
