Country,Total
Australia,423672
Austria,78420
Belarus,139152
Belgium,145719
Bulgaria,99978
Canada,601524
Croatia,31387
Cyprus,5571
Czechia,197072
Denmark,71098
Estonia,41045
Finland,71075
France,547128
Germany,1248577
Greece,103289
Hungary,94787
Iceland,3683
Ireland,54400
Italy,518720
Japan,1269015
Kazakhstan,385022
Latvia,25868
Liechtenstein,229
Lithuania,47792
Luxemburg,12727
Malta,2596
Monaco,103
Netherlands,219604
New Zealand,65129
Norway,51475
Poland,475863
Portugal,58784
Romania,247372
Russia,3158804
Slovakia,73386
Slovenia,18580
Spain,290001
Sweden,71239
Switzerland,53631
Turkey,219572
Ukraine,942574
United Kingdom,794869
United States of America,6442651
