Country,Total
Australia,540382
Austria,79779
Belarus,88814
Belgium,126325
Bulgaria,57164
Canada,693598
Croatia,28151
Cyprus,9773
Czechia,136853
Denmark,64331
Estonia,16662
Finland,67828
France,506424
Germany,908688
Greece,124619
Hungary,65403
Iceland,4966
Ireland,62356
Italy,505219
Japan,1247101
Kazakhstan,279646
Latvia,10731
Liechtenstein,243
Lithuania,19902
Luxemburg,11596
Malta,2892
Monaco,91
Netherlands,199722
New Zealand,77882
Norway,53054
Poland,394714
Portugal,73009
Romania,121699
Russia,1921606
Slovakia,44706
Slovenia,19378
Spain,372319
Sweden,58524
Switzerland,53084
Turkey,387853
Ukraine,390311
United Kingdom,594416
United States of America,6772000
