Country,Total
Australia,530312
Austria,79817
Belarus,92264
Belgium,120443
Bulgaria,54894
Canada,725372
Croatia,24331
Cyprus,7919
Czechia,128692
Denmark,56561
Estonia,22020
Finland,62797
France,491503
Germany,940420
Greece,102684
Hungary,58068
Iceland,4654
Ireland,58571
Italy,449179
Japan,1405889
Kazakhstan,304663
Latvia,10763
Liechtenstein,231
Lithuania,20024
Luxemburg,11270
Malta,2872
Monaco,91
Netherlands,193388
New Zealand,79828
Norway,53989
Poland,401638
Portugal,63542
Romania,111882
Russia,2037756
Slovakia,41863
Slovenia,18221
Spain,323526
Sweden,55719
Switzerland,52832
Turkey,447582
Ukraine,409042
United Kingdom,566545
United States of America,6764669
