Country,Total
Australia,605598
Austria,77112
Belarus,80065
Belgium,95320
Bulgaria,34556
Canada,737750
Croatia,21224
Cyprus,6942
Czechia,129987
Denmark,47882
Estonia,17339
Finland,53445
France,398872
Germany,795541
Greece,79885
Hungary,59234
Iceland,4672
Ireland,59272
Italy,367720
Japan,970566
Kazakhstan,276684
Latvia,8920
Liechtenstein,165
Lithuania,10886
Luxemburg,9102
Malta,2001
Monaco,72
Netherlands,160902
New Zealand,84019
Norway,49151
Poland,452872
Portugal,59431
Romania,91244
Russia,1893791
Slovakia,37098
Slovenia,14006
Spain,298827
Sweden,43551
Switzerland,35671
Turkey,499820
Ukraine,174448
United Kingdom,300568
United States of America,5893451
