Country,Total
Australia,423733
Austria,82082
Belarus,130841
Belgium,148439
Bulgaria,81796
Canada,595777
Croatia,24692
Cyprus,6072
Czechia,178844
Denmark,81729
Estonia,37100
Finland,68977
France,573267
Germany,1202061
Greece,103344
Hungary,88315
Iceland,3466
Ireland,55210
Italy,519791
Japan,1283387
Kazakhstan,369855
Latvia,23972
Liechtenstein,236
Lithuania,49786
Luxemburg,13371
Malta,2450
Monaco,104
Netherlands,227264
New Zealand,66005
Norway,49182
Poland,463791
Portugal,60689
Romania,204385
Russia,2997929
Slovakia,63927
Slovenia,17228
Spain,297748
Sweden,71496
Switzerland,55543
Turkey,219572
Ukraine,856176
United Kingdom,804232
United States of America,6373621
