Country,Total
Australia,487778
Austria,80129
Belarus,79717
Belgium,148883
Bulgaria,57864
Canada,733511
Croatia,25563
Cyprus,8309
Czechia,149272
Denmark,71748
Estonia,17496
Finland,70163
France,552419
Germany,1042612
Greece,126471
Hungary,74917
Iceland,4127
Ireland,68459
Italy,555466
Japan,1373755
Kazakhstan,219030
Latvia,10059
Liechtenstein,247
Lithuania,19426
Luxemburg,9658
Malta,2813
Monaco,109
Netherlands,217578
New Zealand,75398
Norway,55117
Poland,396595
Portugal,81668
Romania,138767
Russia,1891846
Slovakia,48670
Slovenia,18582
Spain,388212
Sweden,68149
Switzerland,52931
Turkey,277841
Ukraine,427603
United Kingdom,711972
United States of America,7313616
