Country,Total
Australia,558875
Austria,80451
Belarus,85449
Belgium,117221
Bulgaria,51664
Canada,716651
Croatia,25667
Cyprus,8303
Czechia,129776
Denmark,51775
Estonia,21228
Finland,59772
France,476621
Germany,865272
Greece,91844
Hungary,62766
Iceland,4771
Ireland,62332
Italy,417588
Japan,1235882
Kazakhstan,351292
Latvia,11153
Liechtenstein,190
Lithuania,19775
Luxemburg,10321
Malta,2021
Monaco,87
Netherlands,182441
New Zealand,80921
Norway,53212
Poland,417431
Portugal,63470
Romania,113499
Russia,2124553
Slovakia,41299
Slovenia,18011
Spain,342218
Sweden,53443
Switzerland,46125
Turkey,522477
Ukraine,318171
United Kingdom,436780
United States of America,6528889
