Country,Total
Australia,539511
Austria,79432
Belarus,91371
Belgium,120386
Bulgaria,60087
Canada,717172
Croatia,25613
Cyprus,8618
Czechia,134139
Denmark,54838
Estonia,20115
Finland,62402
France,490286
Germany,923342
Greece,112306
Hungary,60958
Iceland,4657
Ireland,58785
Italy,484218
Japan,1394044
Kazakhstan,296890
Latvia,10851
Liechtenstein,225
Lithuania,21261
Luxemburg,11807
Malta,3181
Monaco,88
Netherlands,193081
New Zealand,80446
Norway,53998
Poland,404976
Portugal,65405
Romania,121086
Russia,2095639
Slovakia,42309
Slovenia,18918
Spain,350318
Sweden,57376
Switzerland,51946
Turkey,428120
Ukraine,417435
United Kingdom,580418
United States of America,6585908
