Country,Total
Australia,499190
Austria,85815
Belarus,78364
Belgium,147413
Bulgaria,58130
Canada,726555
Croatia,27793
Cyprus,8486
Czechia,145658
Denmark,72887
Estonia,17342
Finland,77918
France,551774
Germany,1037235
Greece,127540
Hungary,75138
Iceland,4113
Ireland,68623
Italy,563138
Japan,1372029
Kazakhstan,235321
Latvia,10617
Liechtenstein,253
Lithuania,20608
Luxemburg,10929
Malta,2991
Monaco,107
Netherlands,216093
New Zealand,78563
Norway,55222
Poland,385455
Portugal,85720
Romania,143913
Russia,1903699
Slovakia,49527
Slovenia,20108
Spain,403701
Sweden,69685
Switzerland,52986
Turkey,280503
Ukraine,430840
United Kingdom,694790
United States of America,7244302
