Country,Total
Australia,428337
Austria,75709
Belarus,106924
Belgium,146897
Bulgaria,75611
Canada,616798
Croatia,22722
Cyprus,6799
Czechia,164722
Denmark,77875
Estonia,21714
Finland,69802
France,541994
Germany,1142845
Greece,104188
Hungary,79353
Iceland,3466
Ireland,55740
Italy,511620
Japan,1291285
Kazakhstan,308228
Latvia,15783
Liechtenstein,243
Lithuania,24551
Luxemburg,13286
Malta,3106
Monaco,108
Netherlands,228695
New Zealand,66913
Norway,49401
Poland,450911
Portugal,63028
Romania,179379
Russia,2382405
Slovakia,54796
Slovenia,17469
Spain,296710
Sweden,71337
Switzerland,52752
Turkey,233185
Ukraine,711032
United Kingdom,764121
United States of America,6604350
