Country,Total
Australia,537262
Austria,86440
Belarus,92953
Belgium,138980
Bulgaria,65997
Canada,735693
Croatia,30506
Cyprus,10006
Czechia,145889
Denmark,67137
Estonia,20084
Finland,71465
France,528371
Germany,974780
Greece,131825
Hungary,71584
Iceland,5300
Ireland,68131
Italy,560119
Japan,1319258
Kazakhstan,291519
Latvia,11416
Liechtenstein,258
Lithuania,24192
Luxemburg,12141
Malta,3077
Monaco,93
Netherlands,205316
New Zealand,80605
Norway,55442
Poland,413750
Portugal,76195
Romania,140786
Russia,2057618
Slovakia,48899
Slovenia,21543
Spain,412136
Sweden,62789
Switzerland,54541
Turkey,391664
Ukraine,450791
United Kingdom,650476
United States of America,7224649
