Country,Total
Australia,495604
Austria,84065
Belarus,79870
Belgium,147325
Bulgaria,60777
Canada,722935
Croatia,26739
Cyprus,8257
Czechia,149300
Denmark,73470
Estonia,17934
Finland,75490
France,557716
Germany,1058745
Greece,127525
Hungary,76857
Iceland,4019
Ireland,70487
Italy,557199
Japan,1348109
Kazakhstan,212958
Latvia,10646
Liechtenstein,247
Lithuania,20229
Luxemburg,10152
Malta,2939
Monaco,107
Netherlands,218272
New Zealand,78386
Norway,56349
Poland,395188
Portugal,81200
Romania,142384
Russia,1926302
Slovakia,50925
Slovenia,19851
Spain,385643
Sweden,68963
Switzerland,54477
Turkey,298954
Ukraine,445701
United Kingdom,714597
United States of America,7202957
