Country,Total
Australia,574451
Austria,80772
Belarus,86987
Belgium,99523
Bulgaria,47665
Canada,743389
Croatia,21662
Cyprus,7833
Czechia,127762
Denmark,48997
Estonia,19775
Finland,56661
France,430011
Germany,824456
Greece,90774
Hungary,61996
Iceland,4490
Ireland,61988
Italy,386656
Japan,1019976
Kazakhstan,328876
Latvia,10232
Liechtenstein,173
Lithuania,14221
Luxemburg,9893
Malta,2021
Monaco,82
Netherlands,169566
New Zealand,82020
Norway,51434
Poland,438651
Portugal,61899
Romania,99355
Russia,2124557
Slovakia,39975
Slovenia,16001
Spain,318872
Sweden,50122
Switzerland,40980
Turkey,512290
Ukraine,265339
United Kingdom,394440
United States of America,6345990
