Country,Total
Australia,594221
Austria,71556
Belarus,79965
Belgium,96043
Bulgaria,37558
Canada,745588
Croatia,21098
Cyprus,7122
Czechia,129987
Denmark,48772
Estonia,19115
Finland,56776
France,387762
Germany,811565
Greece,81770
Hungary,59456
Iceland,4452
Ireland,60002
Italy,365880
Japan,988032
Kazakhstan,299807
Latvia,9335
Liechtenstein,166
Lithuania,10981
Luxemburg,9129
Malta,1967
Monaco,75
Netherlands,165231
New Zealand,82929
Norway,49850
Poland,449866
Portugal,61171
Romania,96553
Russia,1998611
Slovakia,38620
Slovenia,15421
Spain,290022
Sweden,46768
Switzerland,38802
Turkey,518651
Ukraine,198882
United Kingdom,334127
United States of America,6090123
