Country,Total
Australia,524709
Austria,76239
Belarus,91041
Belgium,114732
Bulgaria,57988
Canada,722558
Croatia,23476
Cyprus,8294
Czechia,126563
Denmark,52332
Estonia,21176
Finland,58660
France,461189
Germany,901255
Greece,99258
Hungary,58408
Iceland,4686
Ireland,58063
Italy,427930
Japan,1356589
Kazakhstan,331205
Latvia,10671
Liechtenstein,200
Lithuania,19987
Luxemburg,10807
Malta,2905
Monaco,85
Netherlands,185617
New Zealand,80674
Norway,53863
Poland,388929
Portugal,63440
Romania,112486
Russia,2037987
Slovakia,39863
Slovenia,16582
Spain,325609
Sweden,53833
Switzerland,48875
Turkey,439694
Ukraine,362609
United Kingdom,526556
United States of America,6824957
