Country,Total
Australia,533064
Austria,78462
Belarus,85975
Belgium,118960
Bulgaria,61338
Canada,723096
Croatia,23912
Cyprus,8337
Czechia,127972
Denmark,49738
Estonia,18139
Finland,55087
France,464206
Germany,904262
Greece,95464
Hungary,61517
Iceland,4764
Ireland,60432
Italy,440437
Japan,1318517
Kazakhstan,341343
Latvia,10725
Liechtenstein,198
Lithuania,20283
Luxemburg,10324
Malta,2220
Monaco,88
Netherlands,192713
New Zealand,80724
Norway,54125
Poland,390816
Portugal,67587
Romania,113194
Russia,2035889
Slovakia,40712
Slovenia,16761
Spain,336995
Sweden,53999
Switzerland,48416
Turkey,458954
Ukraine,319141
United Kingdom,505255
United States of America,6671112
