Country,Total
Australia,542288
Austria,79471
Belarus,87745
Belgium,117689
Bulgaria,58801
Canada,706934
Croatia,24000
Cyprus,8784
Czechia,129585
Denmark,51764
Estonia,19809
Finland,58007
France,467060
Germany,907968
Greece,91822
Hungary,62259
Iceland,4717
Ireland,62475
Italy,437696
Japan,1301856
Kazakhstan,342617
Latvia,10717
Liechtenstein,188
Lithuania,20312
Luxemburg,10083
Malta,1902
Monaco,87
Netherlands,193101
New Zealand,78678
Norway,53095
Poland,400421
Portugal,65742
Romania,110762
Russia,2037210
Slovakia,41112
Slovenia,17616
Spain,325466
Sweden,53572
Switzerland,48709
Turkey,473336
Ukraine,337457
United Kingdom,482178
United States of America,6520338
